13755249
/m/03ch87h
/m/03ch87h
Gillian Cross
1990
a 5
about 1
adjust 1
all 1
always 1
and 4
are 2
as 1
awakened 1
away 1
bad 1
become 1
been 1
being 1
best 1
but 1
by 1
cannot 1
cassy 3
coming 1
day 1
does 1
dread 1
encourage 1
escape 1
eventually 1
father 2
fear 1
feckless 1
feeling 1
focuses 1
footsteps 2
from 1
goldie 2
grandmother 1
has 1
heard 1
her 9
his 1
however 1
in 2
involved 1
is 5
learns 1
life 1
lifethat 1
live 1
lives 1
london 1
lovely 1
missing 1
mother 1
mysterious 1
mystery 1
new 1
next 1
night 1
notorious 1
of 2
on 1
one 1
partner 1
play 1
producing 1
protected 1
secret 1
sense 1
sent 1
she 5
something 1
son 1
squat 1
stalked 1
teenage 1
terrorist 1
that 2
the 4
they 1
this 1
time 1
to 4
when 1
who 1
with 2
wolves 1
