3246263
/m/09104m
/m/09104m
Darren Shan

a 11
abandoned 2
about 1
accepts 1
acts 1
after 3
again 1
aging 1
ago 1
ahead 1
alice 2
alive 1
all 1
ally 1
along 1
also 1
an 2
and 15
annie 2
arrowgun 1
asks 3
assistant 1
at 4
attend 2
badly 1
be 2
became 1
been 1
before 2
began 1
between 1
blooded 1
boy 2
breaks 1
but 4
by 3
called 1
captured 1
challenge 1
challenging 1
cinema 1
cirque 3
could 1
cspn 1
curious 1
darius 10
dark 1
darkend 1
darren 19
dead 1
death 1
debbie 2
decides 1
destiny 1
didnt 1
disease 1
disturb 1
do 1
doesnt 2
du 3
earlier 1
edges 1
eighteen 1
end 1
ends 1
even 1
evra 1
fa 1
fake 1
famous 1
father 2
final 2
finds 3
flangs 1
flee 1
football 1
footballer 1
for 5
found 1
freak 6
friend 1
from 1
gannen 1
gawps 1
get 1
give 1
gives 1
go 1
goes 1
going 1
group 1
had 4
happy 1
harkat 2
harst 1
has 2
having 1
he 14
heart 1
helped 1
her 1
hesitates 1
high 1
him 11
his 10
hobos 1
home 3
hoping 1
house 1
however 1
hunt 2
hurt 1
in 4
infuriated 1
instead 1
introduces 1
is 6
it 4
james 1
jekkus 1
jones 2
kill 1
killing 2
know 1
later 1
leaders 1
leave 1
leaving 1
leonard 2
leopard 2
life 1
living 1
lord 2
luck 1
make 1
manages 1
many 1
march 1
match 1
more 1
morgan 1
mother 3
name 2
neck 1
night 1
nightmares 1
normally 1
not 1
now 1
of 5
old 5
on 2
one 1
out 3
over 1
performer 1
physician 1
place 1
plan 1
prevented 1
proceeds 1
proclaimed 1
questions 1
rare 1
recruiting 1
rests 1
returns 1
reuniting 1
right 1
road 1
rv 1
safety 1
same 1
say 1
secret 1
sees 1
semi 1
sensing 1
shadows 1
shan 1
shancus 1
shancusevra 1
shocked 1
shoots 1
shoulder 1
show 3
shows 1
sister 2
so 1
soccer 1
something 1
son 3
sons 1
spotting 1
stab 1
stadium 1
starts 2
steve 12
still 1
stn 1
strangely 1
strikes 1
take 1
tell 1
tells 2
that 7
the 23
theatre 1
their 3
them 3
there 1
they 2
thinks 1
though 1
through 1
thus 1
ticket 2
to 19
told 1
tommy 5
tone 1
too 1
town 1
trade 1
trading 1
trained 1
travel 1
turn 1
two 1
up 1
using 1
vampaneze 1
vampets 1
vampire 2
vampirites 1
vancha 1
version 1
wait 1
waiting 1
walks 1
was 5
when 2
where 3
while 1
who 4
with 5
witnesses 1
years 1
younger 1
