19464493
/m/04mydjf
/m/04mydjf
David Brooks
2007
{"/m/05hgj": "Novel"}
a 3
about 1
after 1
been 2
benedict 2
call 2
can 1
countryside 1
darling 3
day 1
died 1
dying 1
families 1
family 1
finally 1
friend 1
from 1
funeral 1
generations 1
has 2
have 1
he 5
her 1
him 2
his 3
in 1
involve 1
is 1
learns 1
more 1
mother 2
mrs 3
next 1
of 2
often 1
old 1
one 1
own 1
personal 1
phone 2
plans 1
rearranging 1
receives 2
recently 1
several 1
she 2
so 1
spends 1
stories 1
tales 1
telling 1
tells 1
that 3
the 5
three 1
various 1
visit 1
visiting 1
visits 1
where 1
woman 1
years 1
