7761126
/m/026c4zt
/m/026c4zt
Randa Abdel-Fattah
2005-08-01
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 23
abandoned 1
abdelhakin 1
about 3
acts 1
adam 7
advice 1
after 1
again 1
agreed 1
alaykom 1
alcohol 1
already 1
altered 1
although 1
amal 40
an 1
and 37
anger 1
angered 1
any 1
anymore 1
apparently 1
are 4
argues 1
arranged 1
as 4
ask 1
asks 1
assalamu 1
at 9
australian 1
authorization 1
away 2
back 2
be 4
bear 1
become 4
before 5
being 1
believe 1
best 2
bestfriends 1
between 2
big 1
binds 1
birthday 3
blames 2
blush 1
boy 1
break 1
british 1
brother 1
but 8
can 1
care 2
chadstone 1
change 1
cigarettes 1
claire 1
class 3
closer 1
college 1
color 1
column 2
confesses 1
confront 1
cool 1
cope 1
couldnt 1
couplealthough 1
covering 1
crazy 1
crush 1
dad 1
day 5
debates 1
decides 1
decision 4
dentist 1
deserve 1
desires 1
didnt 1
diets 1
different 3
dinner 3
discuss 2
discussion 1
doctor 1
does 1
doesnt 4
dont 1
down 1
during 3
each 1
eileen 1
elderly 1
encounter 1
end 1
ends 1
enraged 1
escorts 1
even 2
everybody 1
expertly 1
family 2
fat 1
father 2
feel 1
feeling 1
finally 1
first 1
five 1
following 2
for 3
foster 1
friends 4
from 4
front 1
frustration 1
full 2
future 1
garbage 1
gets 2
girl 2
girlfriend 1
girls 2
gives 2
go 2
goldberg 1
got 1
grades 1
great 2
greek 1
greeting 1
grounded 1
gulchin 1
guts 1
guy 1
hakan 1
has 3
have 2
having 1
he 4
head 1
her 33
hidaya 2
hijab 9
hijabwearer 2
hijabwearing 1
him 1
his 2
home 2
house 1
idea 1
if 2
imitating 1
immediate 1
immigrants 1
imperfect 1
importantly 1
in 13
instead 1
introduces 1
invites 1
is 17
islamic 2
it 4
jamila 1
japanese 1
jewish 1
josh 2
keane 1
keeps 1
khan 1
kind 1
kiss 1
know 1
knows 1
later 1
laugh 1
lawn 1
leading 1
left 1
leila 13
let 1
lie 1
lied 2
lies 1
life 1
list 2
little 1
lives 1
looks 1
lot 1
lunch 1
make 2
makes 1
male 1
males 1
mall 1
mandatory 1
maroon 1
marriage 1
mason 1
match 1
matter 1
mccleans 2
meaning 1
means 1
meet 1
meeting 1
melbourne 1
misses 1
mohamed 2
mom 2
monday 1
months 1
more 2
morning 1
mother 5
mrs 2
ms 4
muslim 2
names 2
nasrullah 1
neighbor 1
nervous 1
next 2
night 1
no 3
not 3
nothing 1
notices 1
of 13
ok 1
okay 1
okulgen 1
old 1
older 1
on 5
only 1
or 1
other 1
out 1
over 2
pakistani 1
palestinianmuslim 1
parents 5
part 2
party 2
pass 1
passes 1
peace 1
people 2
permission 1
physicalpersonal 1
policies 1
popular 2
praises 1
preparatory 1
pressure 1
principal 3
proud 2
put 1
ran 1
realizes 1
relationships 1
religion 2
religious 1
reluctantly 1
restaurant 1
return 1
right 1
rita 1
runs 1
say 1
saying 1
says 4
school 7
second 2
semester 2
sense 1
seven 1
shaped 1
she 22
shell 1
shelter 1
shocked 1
should 1
shows 1
simone 5
simply 1
sisterhood 1
sixteen 1
skinny 1
small 1
smoke 1
smoking 1
snigger 1
snobby 1
so 1
some 2
spark 1
spent 1
stare 1
starts 3
state 1
states 1
step 1
stick 1
such 1
sure 2
surprised 1
take 1
takes 2
taking 1
talk 2
tamos 1
tanaka 1
teachers 1
tell 2
tells 2
ten 1
testrun 1
that 22
the 37
their 1
them 2
there 3
they 3
thinking 1
thinks 2
this 1
though 3
three 3
throwing 1
tia 1
time 3
timer 1
tired 1
titled 1
to 28
too 2
tries 2
trying 2
turkish 1
two 1
understand 1
uniform 3
universal 2
unsafe 1
up 1
upon 1
vaselli 2
very 2
visits 1
walks 1
walsh 4
wants 1
was 2
wear 5
wearing 5
wears 1
werent 1
what 1
when 5
whenever 1
where 1
whereas 1
which 2
while 3
who 8
whose 2
will 4
winter 1
with 7
without 1
women 3
would 1
writing 2
yasmeen 3
year 1
you 1
