1766719
/m/05v7gp
/m/05v7gp
David Goodis

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 3
an 2
and 2
artist 1
at 1
authorities 1
because 1
by 3
cabbie 1
case 1
convicted 1
difficulty 1
dodge 1
enabling 1
escapes 1
face 1
find 1
friendly 1
from 2
gets 1
has 1
he 1
helped 1
hidden 1
him 2
his 3
in 2
interest 1
irene 2
is 1
jansen 1
keeps 1
killer 1
madge 1
murdering 1
new 1
of 1
parry 2
plastic 1
prison 2
rapf 1
real 1
sent 1
spiteful 1
staying 1
stopping 1
surgeon 1
taken 1
testimony 1
the 2
thereby 1
to 2
up 1
vincent 1
whose 1
wife 2
with 1
woman 1
