9958705
/m/02py3bx
/m/02py3bx
Joel Spector
2007
12 1
a 7
about 1
abroad 1
against 1
agents 1
aided 1
alternative 1
and 6
any 1
are 7
as 2
at 1
available 1
barbarians 1
best 1
bombasts 1
brass 1
broken 2
brother 1
bureaucratic 1
but 1
by 3
can 1
cant 1
chief 1
children 1
compromised 1
cringing 1
dangerous 1
dark 1
davis 1
death 1
decide 1
didius 1
dies 1
doctors 1
dog 1
earlier 1
ecstatic 1
empire 1
encouraged 1
entertainment 1
even 1
events 1
everything 1
extremely 1
faces 1
falco 3
family 1
festival 1
find 1
for 6
fringes 1
from 1
gates 1
gauntlet 1
giant 1
gifts 1
give 1
goosed 1
grudges 1
guard 1
hand 1
has 3
healing 1
heart 2
helenas 1
hide 1
him 1
hindered 1
hire 1
his 1
horrific 1
if 1
in 5
incompetence 1
indifference 1
infighting 1
inside 1
iron 1
is 5
it 2
jolly 1
just 2
killing 1
life 1
lindsay 1
live 1
makes 1
making 1
man 1
mars 1
masters 2
meant 1
members 1
misery 1
misrule 1
missing 1
mixture 1
more 1
nonpersons 1
not 4
novel 2
numerous 1
of 7
offer 1
on 1
one 1
or 1
orders 1
past 1
pernicious 1
person 1
popular 1
praetorian 1
prince 1
proceeds 1
race 1
receive 1
references 1
right 1
riotously 1
roman 1
rome 1
running 1
saturnalia 1
season 1
seasonal 1
security 1
series 1
sheer 1
sick 1
slaves 1
so 1
society 2
some 1
spirits 1
spy 1
stand 1
statues 1
studies 1
thats 1
the 23
their 2
therapists 1
they 1
this 2
through 1
time 1
to 6
top 1
try 1
unfortunately 1
unusual 1
uppity 1
usual 2
vegetables 1
walk 1
while 2
who 1
will 1
with 1
wobble 1
women 1
worst 1
young 1
