28939531
/m/0dgrn_7
/m/0dgrn_7
Rosemary Sutcliff
1955
{"/m/0hwxm": "Historical novel"}
a 16
about 1
acceptance 2
accepted 1
adopting 1
aedile 1
afoul 1
after 4
age 1
agrippina 1
alcestis 1
also 1
amongst 1
and 14
antagonizes 1
are 3
around 1
art 1
as 4
ashore 1
at 1
back 1
bad 1
bandit 1
bard 1
be 1
becomes 1
beginning 1
being 2
belonging 1
belongs 1
beric 12
between 1
black 1
bonds 1
boy 1
breakthrough 1
britain 2
british 1
by 9
camp 1
caught 2
celebrating 1
celtic 1
centurion 2
certain 1
charcoal 1
colonia 1
color 1
comes 1
coming 1
comrades 1
concludes 1
condemnation 1
condemned 2
conflict 1
countryside 1
cover 1
culture 1
dead 1
death 1
degrees 1
descrimination 1
dinner 1
disused 1
dog 3
drawings 1
drops 1
druid 2
dumnonii 1
dumnoniorum 1
during 2
duty 1
election 1
embarrassing 1
escape 1
eventually 1
exiled 1
falls 1
features 1
feeling 1
feet 1
finally 1
find 1
flaminia 1
fleet 1
for 2
found 1
from 3
galley 3
glaucus 2
great 2
greek 1
grounds 1
had 1
harvest 1
has 1
having 1
he 10
her 1
hiding 1
hill 1
him 1
his 13
hoping 1
hound 1
household 3
illustrations 1
in 15
is 10
isca 1
joins 1
journeys 1
justinius 3
kennedy 1
land 1
later 1
leave 1
led 1
life 2
like 2
linked 1
live 1
lives 1
living 1
magistrate 1
makes 1
making 1
many 3
marsh 1
mines 1
mixedbreed 1
moment 1
named 1
native 2
near 1
new 1
newborn 1
north 1
novel 2
novels 2
now 1
of 16
office 1
on 6
out 1
outcast 2
overboard 1
painful 1
pan 1
paralleled 1
part 1
patrician 1
people 1
pio 5
place 1
presence 1
pressure 1
progress 2
publius 2
pup 1
purchased 1
raised 1
reclaim 1
religious 1
renouncing 1
rescued 1
results 1
returned 1
revolves 1
rhee 3
rhenus 1
richard 1
roman 4
romans 1
rome 1
romney 1
salt 1
scene 1
sea 1
second 2
sent 1
sentenced 1
shown 1
slave 3
slow 1
societies 1
son 1
station 1
stationed 1
status 1
storm 2
story 1
strongly 1
struggle 1
superstitious 1
surviving 1
sutcliff 2
sylvan 1
takes 1
temple 1
that 1
the 37
their 1
theme 1
this 2
threatened 1
through 1
thrown 1
time 2
to 11
trader 1
travels 1
tribe 1
tricks 1
ultimately 2
under 1
us 1
various 2
via 1
views 1
village 2
viminal 1
walk 1
wall 3
washes 1
way 1
when 1
where 3
which 4
while 1
white 1
who 3
winout 1
with 2
within 2
witnessed 1
work 2
workers 1
working 1
works 1
years 1
