1610045
/m/05gf_n
/m/05gf_n
Ian McEwan

13 1
15 1
17 1
6 1
a 6
about 1
absentmindedly 1
after 1
afterword 1
all 1
allowed 1
although 1
an 1
and 14
apparently 1
asleep 1
at 1
attempt 1
avoid 1
aware 1
basement 1
be 1
because 1
become 1
becomes 1
bed 1
bedroom 1
begin 2
begins 3
being 1
big 1
boundaries 1
boy 1
broke 1
brother 1
but 2
by 2
called 1
calls 1
can 1
care 1
cellar 2
cement 2
children 4
climax 1
coffin 1
comes 1
concrete 1
corpse 1
crib 1
date 1
death 3
derek 5
describes 1
dies 1
do 1
doctor 1
does 1
down 2
each 1
emanate 1
encasing 1
encourages 1
enter 1
enters 3
eventually 1
experiment 1
fall 1
father 1
feels 1
followed 1
foster 1
four 1
from 3
game 1
garden 1
girl 1
go 1
gone 1
has 3
have 1
he 7
heard 1
heat 1
helps 1
her 1
hidden 2
hide 2
him 6
his 3
hostility 1
house 1
how 2
ick 1
illuminate 1
in 9
incestuous 1
informs 1
interested 1
intimate 1
into 3
invites 1
is 10
it 4
jack 6
jealous 1
joke 1
julie 6
lights 1
longs 1
man 1
mentions 1
more 4
mother 5
much 1
naked 2
nakedness 1
narrator 1
noise 1
not 2
occasionally 1
of 5
older 1
on 3
one 1
only 2
or 1
order 1
other 1
outside 1
parents 1
perhaps 1
play 1
point 1
police 1
reclose 1
relationship 1
remarks 1
remembering 1
right 1
room 1
round 1
same 1
say 1
seen 1
sex 1
show 1
shows 1
siblings 1
sister 3
sisters 1
sit 1
sleep 1
smashing 1
smell 1
son 1
starts 1
story 1
sue 2
surprise 1
surprisingly 1
taken 1
talk 2
talking 1
teenage 1
tells 1
that 6
the 20
their 11
them 2
then 1
there 2
they 7
this 1
through 1
thudding 1
to 16
together 1
told 1
tom 4
towards 1
transvestism 1
trunk 1
two 2
up 1
version 1
was 1
were 1
what 1
when 5
while 3
whilst 1
who 1
window 1
with 3
world 1
would 1
younger 3
