31886919
/m/0gvrflg
/m/0gvrflg

2011-05
{"/m/0mz2": "Alternate history"}
1811 1
5 1
a 12
account 1
across 1
actual 1
additional 1
advanced 1
adventure 1
against 1
allwater 1
alternative 1
america 2
an 2
and 15
andrew 1
any 1
are 5
areas 1
army 1
as 2
attempted 1
attributed 1
aztec 1
background 1
based 1
been 1
belief 1
brigadier 1
british 2
brother 1
but 3
by 2
captain 1
cause 1
characters 1
choice 1
christian 1
civilization 1
claim 1
claims 1
clark 4
coast 3
colonel 1
commands 1
complete 1
completely 1
conflicting 1
conquistadors 1
considered 1
continental 1
corps 4
country 1
covers 1
crossing 1
daily 1
deal 1
deception 1
destiny 1
details 1
detective 1
dialect 1
diplomatic 1
dire 1
disclosed 1
discovery 2
dissolution 1
do 1
doctor 1
due 1
during 1
efforts 1
elements 1
english 1
environment 1
escaped 1
expedition 3
explains 1
f 2
failed 1
fears 1
fighters 1
find 1
first 2
for 4
foreign 1
formed 1
fulfill 1
further 1
general 1
george 1
goals 1
great 1
group 1
happened 1
harrison 1
has 3
heavily 1
henry 1
him 1
his 4
historical 1
however 1
in 3
inca 1
indian 2
interlaced 1
into 1
invasion 1
invasions 1
involve 1
is 4
isolated 1
its 2
jackson 1
james 1
jefferson 1
journal 1
journey 2
key 2
land 1
last 1
learn 1
lewis 2
lieutenant 2
longer 1
lost 1
louisiana 1
madison 1
major 1
manuscript 1
many 1
map 1
members 2
men 1
military 2
missions 1
mysteries 1
mythical 1
nation 1
native 1
nature 1
new 1
north 1
northwest 1
objectives 1
occupies 1
of 15
often 1
on 1
only 1
operation 1
or 2
original 1
originally 1
other 2
overall 1
pacific 2
part 1
perhaps 1
period 1
plot 1
premise 1
president 2
press 1
primarily 1
primary 1
protect 1
prototype 1
purchase 1
reach 1
record 1
recruited 1
religious 1
remained 1
required 1
resembles 1
revealed 1
rogers 1
route 1
routes 1
rumors 1
scientific 1
scott 2
sea 1
second 2
secondary 1
secret 1
segment 1
several 1
skills 1
some 1
spanish 2
states 1
story 3
support 1
supporting 1
supports 1
surviving 1
technology 1
tecumseh 1
territories 1
that 5
the 27
their 1
themes 1
themselves 1
there 1
these 2
they 1
this 3
thomas 1
threats 1
time 1
to 9
translated 1
tribes 1
two 1
ulterior 1
unbroken 1
under 3
unexpectedly 1
unified 1
union 1
united 1
unknown 1
use 1
was 2
west 1
what 1
while 1
william 2
with 2
work 1
would 1
written 1
year 1
years 1
yet 1
