3376479
/m/098cbd
/m/098cbd
Henry James
1880-12-01
a 16
able 1
abroad 1
adopted 1
after 3
again 2
aided 1
all 1
alone 2
alps 1
also 1
an 2
and 15
announce 1
are 1
as 2
at 2
attractive 1
aunt 1
austin 1
background 1
balding 1
be 2
being 1
believes 1
believing 1
beloved 1
bestow 1
between 1
birth 1
both 1
breaks 1
bring 1
but 4
by 2
call 1
calmly 1
cannot 1
catherine 17
charming 1
child 1
choose 1
coldeyed 1
compares 1
considers 1
contempt 1
convinces 1
courts 1
daughter 1
day 1
determination 1
devastated 1
devotion 1
died 2
dies 1
disappointment 1
disapproves 1
disinherit 1
doctor 2
does 1
dr 4
drawn 1
dull 1
during 1
earlier 1
effort 1
elfish 1
emotionally 1
engagement 2
entertainment 1
equanimity 1
europe 1
eve 1
eventually 2
fact 1
fancywork 1
far 1
fat 1
father 3
fattened 1
fear 1
fianc 1
finally 2
finds 1
firm 1
for 3
forbids 1
forget 1
from 1
give 1
giving 1
goes 1
grand 1
great 1
grows 1
had 2
has 1
he 9
her 16
herself 2
highly 1
him 4
his 7
holds 1
hoping 1
household 1
however 1
idler 1
if 1
in 9
income 1
injury 1
intellect 1
into 2
is 6
it 2
james 1
last 1
lavinia 2
learns 1
least 1
leaves 1
life 1
little 1
lives 1
looks 1
love 1
loves 1
loyalty 2
many 1
marriage 1
marries 1
marry 2
matter 1
meddlesome 1
meets 1
melodrama 1
member 1
mentions 1
middleaged 1
money 1
month 1
morris 9
morsel 1
mrs 1
ndash 2
never 2
new 1
now 2
occasions 1
of 7
off 1
offers 1
on 5
once 1
one 1
only 3
other 1
out 1
overtures 1
parasitic 1
party 1
pass 1
pay 1
penniman 2
personality 1
perverse 1
physically 1
physician 1
picking 1
pities 1
plain 1
powerfully 1
predicament 1
prepares 1
reappear 1
rebuffs 1
recognizes 1
reconcile 1
recovers 1
reduced 1
refuses 2
relationship 1
relent 1
resolve 1
respectable 1
return 2
sarcastically 1
seated 1
second 1
sentence 1
sharply 1
she 3
sheep 1
sister 2
situation 1
slaughter 1
sloper 6
somewhat 1
son 2
spendthrift 1
spinster 1
square 1
still 1
strongly 1
successful 1
surviving 1
sweetnatured 1
takes 1
tells 2
terms 1
that 5
the 11
their 3
then 1
they 1
this 1
threeyearold 1
time 2
to 16
together 1
too 1
tour 1
townsend 3
twelve 1
twice 1
two 2
understands 1
up 3
upon 1
urbane 1
us 1
virtually 1
visiting 1
voyage 1
washington 1
wealthy 1
week 1
were 1
when 2
while 1
who 2
whom 2
wife 1
will 4
with 3
withdraws 1
woman 2
years 2
york 1
young 1
