4744286
/m/0cl0rp
/m/0cl0rp
Paul Cornell

114 1
a 18
abilities 1
acquire 1
after 1
alcohol 1
alien 1
alters 1
an 1
and 7
arrives 1
as 3
associates 1
at 1
attack 1
aubertides 1
augon 1
awakens 1
back 2
be 1
becomes 1
beer 1
benny 3
bernice 1
biodata 1
called 1
carnac 1
cheek 1
collapses 1
crex 1
dark 1
de 1
death 1
device 1
did 1
die 1
disperses 1
doctor 5
dr 1
dream 1
drinking 1
drinks 1
england 1
everyone 1
falls 1
fellow 1
female 1
finds 2
follow 1
from 1
genesmith 1
grief 1
grieving 1
group 1
guy 1
had 2
hands 1
has 1
having 1
he 4
hell 2
her 9
him 1
himself 1
his 2
history 1
hoping 1
hour 1
however 1
human 4
immediately 1
in 9
into 1
is 2
joan 2
john 2
laylock 1
leads 1
leave 1
level 1
lives 1
long 1
lord 2
love 2
market 1
meanwhile 1
meets 1
months 1
more 1
named 3
need 1
novel 1
of 2
off 1
on 3
once 1
orders 1
pad 1
partners 1
patch 1
places 1
plan 1
planet 1
premonition 1
previous 1
pub 1
public 1
purchased 1
quickly 1
room 1
sacrifices 1
sanctuary 1
school 2
scroll 1
see 1
seen 1
sets 1
several 1
she 1
since 1
smith 4
summerfield 1
system 2
takes 1
tardis 1
teacher 2
teenager 1
telling 1
tells 2
that 3
the 15
them 1
they 2
three 1
tim 1
time 2
to 7
transforming 1
unable 2
understand 1
way 1
when 1
where 1
which 1
will 1
with 3
