8066922
/m/026q82p
/m/026q82p
Robert Rankin

a 7
alexander 3
and 12
antipope 1
appears 1
archroy 2
are 1
art 1
as 1
at 1
backing 1
barman 1
beanmen 1
beans 2
before 1
being 1
beloved 1
between 1
borgias 1
borough 1
brentford 2
builders 1
channelwading 1
characters 1
cowboy 1
cut 1
dark 1
dave 1
deadly 1
denouement 1
dim 1
distant 1
drinking 1
elusive 1
eventually 1
evil 1
father 1
feckless 1
final 1
five 1
flying 2
for 1
forces 1
generally 1
good 1
grow 1
hairy 1
hideous 2
his 2
homunculi 1
horses 1
in 4
including 1
interesting 1
into 1
is 3
jim 1
john 2
jungle 1
last 1
like 1
live 1
local 1
london 1
long 1
magic 1
mak 1
martial 1
massed 1
master 2
meetings 1
might 1
minor 1
mission 1
moity 1
morris 1
much 1
neighbourhood 1
neville 1
night 1
none 1
now 1
numerous 1
of 6
omally 2
on 2
one 1
only 1
or 1
other 4
parttime 1
perhaps 1
pooley 2
pope 2
problems 1
professor 1
purpose 1
putting 1
residence 1
rotten 1
sam 1
seaman 1
sells 1
serve 1
several 1
short 1
showdown 1
side 1
slocombe 1
soap 1
something 1
spending 1
start 2
story 1
subplots 1
such 1
swan 2
takes 1
than 1
the 17
their 3
there 2
they 1
though 1
time 1
to 2
tramp 2
trip 1
underground 1
up 2
vi 1
when 2
whose 1
wife 1
wind 1
with 3
womanising 1
