790928
/m/03cf96
/m/03cf96
John O'Hara
1934
{"/m/05hgj": "Novel"}
12 1
a 25
abdomen 1
about 3
accustomed 1
acknowledges 1
acquaintances 1
acts 2
actually 2
administering 1
age 1
aide 1
all 1
almost 1
although 1
always 1
ambiguous 1
among 1
an 5
and 20
another 2
any 1
apparently 3
appointment 1
are 5
as 3
asleep 1
assume 1
at 3
attempt 1
attentive 1
automobile 1
battle 1
be 3
because 3
before 1
behavior 4
believes 2
belong 1
belongs 2
biographer 1
borrowed 1
both 1
brawl 2
business 3
but 5
by 2
bystanders 1
cadillac 1
called 1
came 2
car 3
carbon 1
caroline 6
catholic 2
cause 1
character 2
chest 1
clear 1
closed 1
club 1
collegeeducated 1
comes 2
commits 2
community 3
complicated 1
concern 1
confidence 1
contrast 1
could 1
couple 1
course 1
cousin 1
crowd 1
culminating 1
curious 1
customer 1
customers 1
damage 1
danger 1
day 1
days 3
dealership 2
debt 1
defend 1
departed 1
departure 1
depression 1
describes 2
destined 1
destroys 1
detail 1
details 1
detested 1
device 1
did 1
difficulties 3
divorces 1
do 2
does 1
doesnt 1
drink 3
driven 1
drunk 2
during 1
each 2
earn 1
ease 1
elaborately 1
elsewhere 1
emerge 1
employees 1
encounter 1
engages 1
english 6
enough 1
even 2
event 1
eventually 1
excessiveness 1
excitement 1
experiences 1
explanation 1
external 1
eye 1
face 3
faced 1
fact 1
facts 1
failed 1
fantasizing 1
fear 1
felt 1
financial 2
finding 1
first 3
fitzgerald 1
flowers 1
follow 1
following 1
follows 1
for 7
forgive 1
frank 1
friend 1
friends 1
froggy 6
from 1
gangster 4
garage 1
generation 2
gentleman 1
gets 2
getting 1
gibbsville 2
gibbsvillemdashworth 1
girl 1
girlfriend 1
gives 1
go 1
god 1
goes 1
good 1
gradually 1
great 2
greatest 1
grew 1
group 1
gun 1
h 1
had 2
hangover 1
hangovers 1
happens 1
harry 4
has 5
have 2
having 2
havingmdashwould 1
he 31
head 1
hear 1
hearing 1
her 5
herself 1
highball 1
highranking 1
him 6
himself 1
his 23
holds 1
home 1
how 1
however 2
i 2
identified 1
if 3
important 1
impulsive 2
in 25
incident 2
incidents 1
indications 1
insoluble 1
insurmountable 1
into 1
introduction 1
investor 1
invites 1
is 18
it 4
its 1
itself 1
jazz 1
jeezozz 1
julian 20
just 1
keep 1
keerist 1
knew 2
knows 1
lantenengo 1
later 2
learn 2
learning 1
least 1
leave 1
left 1
life 4
like 1
liked 2
likely 1
little 1
local 1
long 2
lose 1
loss 1
lump 1
lyrical 1
macshane 1
make 1
makes 1
man 4
many 3
marry 1
me 2
men 1
misperceived 1
money 1
monoxide 1
mother 1
much 2
name 1
narrator 2
never 2
next 1
no 2
not 6
notquiteunforgivable 1
novel 4
observers 1
obvious 1
occurs 1
odd 1
of 25
ogden 1
ohara 1
old 1
omniscient 1
on 3
once 1
one 6
or 1
order 1
other 2
otherwise 1
our 1
out 1
over 1
owns 1
pages 2
paid 1
paragraph 1
part 1
past 1
patched 1
people 2
perhaps 1
picks 1
place 1
placed 1
poisoning 1
predestined 1
present 1
pretending 1
propositions 1
provocativelyclad 1
punishment 2
reader 1
real 1
realize 1
recommended 1
reilly 4
relationship 1
repeated 1
report 1
reporter 1
reputation 2
rest 1
result 1
reverie 1
reveries 2
risk 1
roadhouse 1
royales 1
running 1
samarra 1
say 1
says 1
second 2
seduce 1
see 1
seem 1
seems 2
selfinflicted 1
sent 1
series 1
serious 2
seven 1
several 2
sexual 1
she 4
shifts 1
shows 2
since 1
situations 1
slugs 1
so 2
social 1
society 1
some 2
sore 1
span 1
spend 1
spread 1
started 1
status 1
street 1
succeeding 1
successive 1
sufficiently 1
suggest 1
suicidal 3
suicide 4
surprised 1
sympathy 1
taken 1
talk 1
telephone 1
temporarily 1
temporary 1
ten 1
that 17
the 50
their 1
there 1
these 1
they 1
thing 1
things 1
third 1
thirty 1
this 3
though 1
thought 1
thoughts 1
three 3
threeday 1
threw 1
thrilling 1
through 1
throughout 1
throw 1
throwing 1
throws 1
time 2
times 1
to 26
told 1
too 1
trade 1
tremendous 1
two 3
unimportant 1
unknown 1
up 3
us 2
valued 1
vision 1
want 1
was 6
we 4
wellconnected 1
welldeserved 1
wellestablished 1
wellpracticed 1
were 2
what 4
when 1
where 1
which 5
who 4
whom 1
wife 7
will 3
with 10
within 3
without 1
woman 3
women 1
wonder 1
wondered 1
word 1
would 4
wouldnt 2
writes 1
years 1
yet 1
you 1
young 1
younger 1
