7036658
/m/0h1d_t
/m/0h1d_t
David Michelinie
1987
2007 1
a 14
able 2
about 5
absorb 1
across 1
after 1
again 3
all 4
allan 1
alleyway 1
an 4
and 32
announce 1
appear 1
are 7
arresting 2
arrive 1
arrives 1
as 8
asking 1
at 4
attack 1
attempt 1
attend 1
attendance 1
aunt 3
bachelor 1
barely 1
be 3
because 1
begin 1
beginning 1
being 2
best 2
block 2
body 1
book 1
both 6
boyfriend 2
bugle 1
building 1
bulk 1
but 5
by 4
can 1
cant 1
car 1
ceiling 2
changes 1
chases 1
child 1
cinder 2
city 1
cleaning 1
clear 2
clearly 1
comic 1
complain 1
conceive 1
confused 1
conquers 1
contemplating 1
continuity 1
convince 1
cop 2
couple 1
crash 1
cuffing 1
cut 1
daily 2
day 4
decide 1
decides 1
defeating 1
defeats 1
designed 1
designer 1
did 1
didnt 1
do 1
does 2
door 1
down 2
dress 1
earth 1
eat 1
eddie 6
electro 4
enemies 1
erased 1
escapes 1
events 1
everyone 2
ex 1
exboyfriend 1
explained 1
family 1
feelings 1
ferrari 1
finally 1
find 1
finds 1
first 1
flash 1
footprints 1
for 5
france 1
friend 1
from 2
gang 2
gets 1
gives 1
go 2
goes 3
grand 1
ground 1
guests 1
gunshots 1
hall 1
happened 1
harry 1
has 1
hate 1
have 1
having 1
he 13
head 2
heads 1
hears 1
hell 1
help 1
helpless 1
her 7
him 5
his 12
hit 1
home 3
honeymoon 1
honor 1
hosting 1
house 1
how 2
however 1
i 1
if 1
impact 1
impending 1
in 14
into 1
irritated 1
is 8
issue 1
it 1
j 1
jameson 1
jane 10
jonah 1
judge 1
knee 1
last 1
late 1
later 1
laying 1
leaps 1
leaves 4
leaving 2
life 2
live 1
living 1
liz 1
love 1
makes 2
man 1
marriage 2
married 1
marry 1
mary 10
may 2
meanwhile 2
meet 1
meeting 1
meets 1
members 1
mephisto 2
minute 1
misses 1
mj 10
more 2
morning 1
most 1
mother 1
moving 1
mr 1
mrs 1
name 1
never 1
new 1
news 1
next 2
night 4
nightmares 1
normally 1
not 2
note 1
occupied 1
occurred 1
of 15
off 3
officer 2
officers 1
old 1
omen 1
omit 1
on 4
once 1
one 4
only 1
osborn 1
out 4
paris 1
parker 1
participants 1
party 4
patrolling 1
pay 1
peter 14
photo 1
photos 1
pigeon 1
place 2
point 2
ponder 1
presents 1
prevented 1
process 1
prominent 1
provide 1
reallife 1
red 1
remembering 1
responds 1
returns 1
runs 1
rushes 1
same 1
save 2
saving 1
scrap 1
second 1
shake 1
she 5
shoot 1
shooting 1
shot 1
should 1
show 1
shows 1
side 1
simply 1
simultaneously 1
single 1
skips 1
sleep 1
slinging 1
smile 1
smith 1
so 1
soon 1
spenser 1
spiderman 10
spidey 1
staff 1
starting 1
starts 1
states 1
stop 1
stops 1
stories 1
storyarc 1
storyline 1
strip 1
subway 1
supposed 1
surprised 1
sweat 1
swoops 1
tackles 1
take 5
takes 3
tempt 1
that 7
the 48
their 7
them 2
then 2
there 1
they 9
theyre 1
thompson 1
thoughts 1
through 2
thus 1
tickets 2
times 1
to 35
together 3
top 1
town 2
tried 1
true 1
try 1
trying 1
turns 1
two 3
uncle 1
unconscious 1
unlocks 1
unmarried 2
up 4
upcoming 2
wakes 2
want 1
wants 1
was 3
watson 1
web 2
webslinging 1
wedding 11
what 2
when 3
where 2
which 2
while 2
who 1
why 1
wife 2
willi 1
with 11
wondering 2
working 1
worries 1
