5191717
/m/0d71zw
/m/0d71zw
David Feintuch

{"/m/014dfn": "Speculative fiction"}
a 8
abandoned 1
about 1
accelerate 1
admiral 3
after 3
aftermath 1
alien 2
aliens 2
almost 1
alone 1
already 1
amanda 1
an 2
and 12
any 1
as 3
assigned 1
attack 1
attacked 1
attracts 1
baby 1
back 1
barely 1
base 1
battles 1
beyond 1
board 1
breakdown 1
by 3
captain 1
challenger 7
children 1
colony 1
command 3
commander 1
commits 1
conscripting 1
considered 1
crew 4
crippled 1
damaged 2
danger 1
days 1
decides 1
defuses 1
desperate 1
detour 1
dozens 1
driven 1
drugging 1
dying 2
earth 1
eightyyear 1
eliminating 1
encounters 1
far 1
faster 1
father 1
fish 3
flagship 3
for 4
force 2
found 1
from 3
further 1
fuse 1
geoffrey 1
given 3
grief 1
group 1
has 2
hasselbrad 1
hates 1
her 3
hibernia 1
him 1
his 7
hope 3
imprisoning 1
in 6
including 2
initially 1
insane 1
into 3
is 8
it 2
itself 1
killed 1
killing 1
leading 1
left 1
lethal 1
light 1
lodged 1
lower 1
make 1
malnutrition 1
meets 1
miraculously 1
moon 1
more 1
mutiny 1
nation 3
naval 2
new 1
newly 1
nicholas 2
of 15
often 1
old 1
on 2
only 1
or 1
original 1
overcoming 1
part 1
passengers 3
portia 4
possible 1
preparing 1
propulsion 1
radiation 1
ram 1
reaching 1
recovery 1
releasing 1
remains 1
result 1
return 1
save 1
scavenging 1
seafort 9
sections 1
sees 1
series 1
service 1
sets 1
ship 8
shortly 1
simply 1
sixty 1
smaller 1
solar 1
solutions 1
son 1
space 1
speed 1
squadron 1
street 1
suffers 1
suicide 1
system 1
systems 1
taken 1
taking 1
task 4
temporary 1
than 1
that 2
the 24
their 1
them 1
this 1
tiny 1
to 11
transferred 1
transpops 3
transporting 1
tremaine 4
trip 1
ultimately 1
under 1
uneducated 1
uns 2
until 1
uses 1
violent 1
virus 1
voyage 2
way 1
weeks 1
were 1
what 1
when 1
which 1
with 1
wrecked 1
york 1
