30084048
/m/0g576nj
/m/0g576nj
Margaret Haddix
2010-08-24
1600 4
1600s 1
1611 4
a 16
able 1
actually 3
after 1
agree 1
all 3
also 1
always 1
an 4
and 56
andrea 20
antonio 10
appearance 1
are 8
arrive 2
artwork 1
asleep 2
back 5
be 2
beat 3
because 5
becomes 1
been 1
before 2
begins 1
behind 2
being 1
blames 1
bones 1
book 1
born 1
boys 10
brendan 10
brief 1
briefing 1
bring 2
buries 1
but 7
button 2
by 3
called 1
calls 3
came 2
campfire 1
canoe 3
cant 1
causing 1
century 1
chance 2
chances 1
chase 1
chases 1
child 1
colonies 1
come 2
comes 4
control 1
could 1
croatoan 3
dare 11
day 2
dead 2
deliberately 1
did 2
didnt 1
died 1
do 4
does 1
doing 2
doubles 1
drawn 1
elucidator 7
english 1
even 1
events 1
eventually 1
everywhere 1
evil 2
explains 4
fall 1
falls 2
figure 1
figures 1
find 1
finds 4
fires 1
first 1
fish 1
flipped 1
flips 1
floating 1
follow 1
follows 1
food 1
for 2
force 1
forward 1
from 2
furious 2
gave 1
get 3
gets 1
gifts 1
give 1
gives 4
glowing 1
go 5
going 3
gone 1
granddaughter 1
grandfather 2
great 1
had 1
happened 1
happens 1
has 1
haunt 1
have 4
he 17
head 2
hear 1
her 7
here 1
him 5
himself 3
his 6
history 1
hit 1
hold 1
holding 1
honor 1
however 1
if 4
implying 1
in 11
including 1
inside 1
into 4
is 13
island 6
it 6
jar 1
jb 7
jeopardizing 1
john 9
jonah 18
june 1
just 2
katherine 11
kids 3
killings 1
land 1
landed 1
landing 1
last 1
later 2
learn 1
leave 1
left 2
life 1
lost 1
make 2
makes 2
man 4
manages 1
means 1
meets 1
midair 1
middle 1
mission 1
mix 2
moment 1
must 1
mustve 1
name 1
named 1
next 1
night 1
nobody 1
not 2
now 1
number 2
numbers 1
odd 1
of 14
off 2
on 11
one 3
opposite 1
original 1
out 3
paddling 1
paint 1
paper 1
paradox 1
parents 2
passed 1
passing 1
people 2
person 1
piece 1
plugged 1
prerecorded 1
press 1
presses 1
projectionist 2
protect 1
pushes 1
ready 1
real 2
really 1
reason 1
released 1
relive 1
rescue 2
rescued 1
return 2
reveals 1
ripple 6
roanoke 1
rooms 1
runs 1
sabotage 1
said 2
sam 2
same 1
save 5
saving 1
say 1
says 14
screams 1
screen 1
second 10
secondsam 8
seemed 1
sends 1
sent 3
series 1
set 1
she 8
should 1
show 1
shows 1
skeletons 1
sleeps 1
smack 1
so 1
sounds 1
spirit 1
spirits 1
start 1
starting 1
starts 1
suddenly 1
supposed 2
take 1
tell 2
that 31
the 59
their 4
them 13
then 8
there 2
they 26
thing 2
think 1
through 3
throughout 1
time 9
times 1
to 46
tracer 12
tracers 2
traitor 1
travel 2
travelers 1
traveling 1
try 2
tv 1
twentyfirst 1
two 2
until 1
up 8
version 1
versions 1
video 1
virginia 6
voice 3
wake 2
wakes 1
want 1
wanted 3
wants 1
was 6
water 1
way 1
went 1
were 2
what 4
whatever 1
when 6
where 2
which 4
while 2
white 9
who 3
why 2
will 2
with 8
within 1
wont 1
woods 4
would 2
year 1
