6613541
/m/0gds_7
/m/0gds_7
Enid Blyton
1942-09-11
10 1
11 2
12 1
a 23
about 2
aged 4
agree 1
all 1
alone 1
along 2
and 24
anne 1
announces 1
another 1
answer 1
answers 1
any 1
anyone 1
are 4
arrive 1
as 4
asleep 1
at 2
aunt 1
back 1
be 4
beach 1
because 2
been 2
before 2
begins 1
behaves 1
belongs 1
beloved 1
big 1
bit 1
black 1
boat 3
bossy 1
box 9
boy 1
brought 1
but 5
buying 1
called 1
camp 1
can 3
cannot 2
chases 1
check 1
child 1
children 3
climbs 1
come 1
confiscates 1
copy 1
cottage 1
country 1
cousin 1
cousins 3
cracks 1
cross 1
curly 1
damage 1
decide 5
desperately 1
dick 1
difficult 1
discovering 1
disturbing 1
divers 1
does 1
dog 1
doing 1
down 4
dresses 1
drop 1
dungeons 2
during 1
else 2
explains 1
explore 3
falls 1
family 1
fanny 1
father 1
few 1
find 4
five 1
floor 1
for 2
force 1
four 2
from 4
furious 1
george 8
georgina 3
get 2
girl 1
go 1
gold 6
good 1
grandfather 1
greatgreatgreat 1
had 1
hair 1
has 3
have 3
havent 1
he 5
head 1
her 9
highest 1
him 1
his 2
holiday 1
home 1
horrible 1
house 2
how 3
however 1
if 1
ingots 1
inside 2
into 5
introduces 1
invited 1
is 10
island 9
it 14
jewellery 1
julian 2
just 2
kirrin 6
latin 1
learn 2
leaves 1
like 4
look 1
looking 1
lots 1
made 1
man 1
map 5
meaning 2
men 1
mother 1
much 1
must 1
name 2
nights 1
no 1
noise 1
not 2
notice 1
of 7
old 2
on 12
one 5
only 1
open 4
opening 1
other 1
out 1
over 1
passed 1
pick 1
planning 1
polseath 1
puppy 1
quentin 5
rabbit 1
real 1
realise 3
red 1
rescue 1
return 1
sank 1
saying 1
scientist 1
see 2
she 5
shelf 1
ship 1
shipwreck 2
shipwrecked 1
short 2
siblings 1
since 1
slab 1
small 1
sneaks 1
so 7
sold 2
somewhere 1
soon 1
spend 1
standing 1
stay 2
sticking 1
still 1
stone 1
storm 3
study 2
summer 1
surface 1
surprised 1
take 2
takes 1
tells 2
that 3
the 43
their 3
theirs 1
them 2
then 1
they 22
thinking 1
this 2
through 1
thunderstorm 1
time 1
timmy 5
to 26
trace 1
transporting 1
travelling 1
treasure 1
trip 1
try 1
uncle 5
under 1
unknown 1
unloaded 1
up 2
usual 1
very 1
wants 1
was 6
water 2
way 2
we 1
wears 1
well 3
when 6
where 1
who 2
whom 1
will 3
window 1
with 4
word 1
work 1
works 1
would 1
