2644402
/m/07ty3g
/m/07ty3g
John Grisham
1995
11 1
40 1
502 1
a 27
about 2
again 1
against 2
allowing 1
allows 2
almost 1
although 1
ambulance 1
american 1
an 4
and 21
another 1
any 1
apply 1
argued 1
arrives 1
as 3
assessor 1
associate 1
at 1
attacking 1
attend 1
attorney 1
avoid 1
awarded 1
away 1
bad 1
bankrupt 1
bar 3
baseball 1
bat 2
battered 1
baylor 1
be 4
beaten 1
because 2
become 2
been 3
before 3
behalf 1
benefit 6
black 3
blacks 1
bone 1
both 1
bought 1
brother 1
bruiser 1
buddy 1
business 2
but 5
by 5
can 2
case 5
cases 1
catastrophes 1
center 1
certainly 1
chain 1
charged 1
charges 1
chaser 1
claim 2
class 2
clients 2
cliff 4
college 1
community 1
company 4
concerned 1
consult 1
could 2
covered 1
cracks 1
crooked 1
damages 1
day 1
death 1
deck 2
declares 1
degree 1
denied 1
deny 1
desperate 1
dies 2
disillusioned 1
divorce 1
dollars 1
donate 1
donny 2
dot 2
drawn 1
dropped 1
drummond 1
due 1
during 1
earn 1
elderly 1
employee 1
ends 1
even 1
every 1
exam 1
examination 1
experienced 1
expire 1
extra 1
f 1
fact 1
failed 1
faith 1
falls 1
family 2
fbi 1
fee 2
few 1
file 2
financial 1
finds 1
firm 5
for 12
forced 1
former 2
from 7
further 2
generated 1
gets 1
go 1
goes 1
graduate 1
great 6
greater 1
grieving 1
has 5
have 3
having 1
he 11
headed 1
heading 1
heard 1
helping 1
helps 1
her 5
herself 1
him 4
himself 1
his 7
home 1
hospital 2
hunt 1
husband 1
identical 1
if 1
ill 1
in 6
injuries 2
injury 1
instead 1
insurance 5
insured 1
intervenes 1
introduce 1
introduced 1
is 14
it 3
items 1
itself 1
j 1
jail 1
job 2
judge 2
judgment 2
jury 1
just 2
kelly 8
kill 1
landlady 1
large 1
larger 1
later 1
latest 1
law 5
lawsuits 1
lawyer 1
lawyers 1
leave 2
leo 1
lessthanethical 1
let 1
leukemia 2
license 1
life 1
lined 1
local 2
loses 1
love 1
lyman 1
made 1
makes 1
manslaughter 1
marrow 1
match 1
meets 1
members 1
memphis 2
met 1
million 3
money 2
must 1
needs 1
never 2
new 1
newlyappointed 1
no 2
not 2
now 1
odds 1
of 10
on 3
one 2
or 1
orders 1
other 1
out 2
own 1
owner 1
paid 1
parents 1
parttime 2
pass 1
passed 1
paying 1
payout 1
perfect 1
pick 1
plaintiff 1
playing 1
police 1
poor 1
poorlypaid 1
position 1
positions 1
potential 1
practice 1
preparing 1
prince 1
procedure 1
protect 1
put 1
quickly 1
raided 1
ran 1
ray 2
received 1
recovering 1
regardless 1
reluctantly 1
required 1
retrieve 1
revenue 1
revised 1
riker 1
rudy 15
ruthless 2
saved 1
scheme 2
school 1
secures 1
set 1
settlement 1
several 3
she 2
shifflet 1
should 1
side 1
sign 1
signs 1
six 1
skull 1
sleazy 1
society 1
someplace 1
son 1
spends 1
starts 1
state 2
stone 2
submitted 1
successful 1
suit 1
supporters 1
sympathetic 1
teacher 1
terminally 1
testified 1
testifies 1
that 3
the 33
their 3
them 2
then 2
there 1
they 1
this 1
thomas 1
threatens 1
threats 1
through 1
throughout 1
thus 1
times 1
to 20
transplant 1
trial 3
twin 1
two 1
ultimately 1
uncovers 1
up 5
validity 1
vengeful 1
victory 1
visit 1
was 2
well 1
when 2
where 3
which 3
while 2
who 4
whom 1
whose 1
wife 1
will 1
with 11
without 1
working 1
worth 1
would 2
wrestles 1
young 1
