552328
/m/02p6qf
/m/02p6qf
Terry Pratchett
2001
a 19
abbot 2
able 3
about 2
act 1
actions 1
activation 1
advice 1
affected 1
after 3
against 2
agent 1
agreements 1
agrees 1
all 3
also 1
although 2
an 8
and 32
angel 1
ankhmorpork 3
annoys 1
anthropomorphic 1
anyway 1
apart 1
apocalypse 1
apocralypse 1
apparently 1
appears 3
apprentice 1
apprenticed 1
are 5
arrive 1
as 9
asks 1
assisted 1
assumed 1
astonishing 1
at 3
attempts 3
auditors 12
away 2
back 1
backwards 1
battle 2
be 3
became 1
because 2
become 1
becomes 3
been 1
before 4
begin 1
begins 1
being 3
berwald 2
best 1
better 1
blows 1
blue 1
bodies 1
body 1
bolt 2
book 1
books 1
both 1
boys 1
brought 2
build 1
building 1
built 3
but 6
by 9
call 1
called 1
can 1
castle 1
cause 1
caused 1
change 1
chaos 2
chocolate 2
chronologically 1
city 1
clock 16
clockson 3
collective 2
colours 1
comatose 1
compare 1
connection 1
consider 1
contacting 1
continue 1
continues 1
convince 1
cool 1
correct 1
create 1
creation 1
creature 1
death 6
decide 1
defeated 1
delay 1
delayed 1
delivered 1
despite 1
destroy 1
determining 1
difficulties 1
difficulty 1
directly 1
discover 1
discovers 1
discworld 2
distant 1
disturbed 1
do 1
dogs 1
dojo 1
dong 2
due 2
during 1
effectively 1
eliminate 1
end 1
enough 1
eternally 1
everyday 1
experiences 1
explained 1
failed 1
famine 1
famous 1
father 1
fifth 2
fight 3
figured 1
file 1
finds 2
first 1
fix 1
flaming 1
following 1
for 4
form 2
four 1
freeing 1
freeze 1
freezing 1
from 4
froze 1
glass 5
goes 1
granddaughter 1
had 1
hammer 1
has 1
have 3
having 3
he 12
head 1
hear 1
helit 1
help 1
her 3
highly 1
him 1
his 9
history 1
hits 1
hitting 1
hive 1
horseman 1
horsemen 3
horses 1
however 2
human 4
humans 3
identities 1
impressive 1
imprison 1
in 15
include 1
including 1
individual 1
infused 1
inherent 1
instant 1
instead 1
intend 1
into 1
iron 2
is 16
it 4
its 1
jeremy 9
job 2
join 2
just 2
kaos 2
keep 1
kill 1
knocked 1
known 1
knows 1
late 1
later 1
learn 1
least 1
left 1
lejean 2
less 1
light 1
lightning 3
likely 1
likes 1
limited 1
literally 1
lives 1
living 1
lobsang 13
localised 1
longer 1
ludd 3
lutze 9
maker 1
matter 1
meanwhile 1
meeting 1
meets 2
memories 1
mental 1
met 1
metal 1
midwife 2
might 1
milk 1
mind 1
mist 2
moment 3
monastery 2
monks 1
more 3
mother 1
moved 1
moving 1
myria 4
myriaunity 1
name 1
naming 1
nanny 2
new 1
newlynamed 1
no 1
none 2
not 6
nothing 1
novel 1
number 1
of 21
off 1
ogg 1
oi 2
on 4
once 2
one 1
ongoing 1
only 2
opposed 1
opposes 1
organise 1
original 1
originally 1
other 4
out 3
over 1
own 3
paperwork 1
part 1
passes 1
patchup 1
perfect 2
person 1
personification 1
pestilence 1
physical 2
plans 1
play 1
possible 1
prepares 1
prevent 2
previous 2
problem 1
pub 1
quantity 2
quite 1
quoth 1
race 1
races 1
rats 1
raven 1
realises 1
reanimated 1
refuses 1
reservoir 1
returns 1
reveal 1
reveals 1
ride 1
ronnie 1
roundup 1
rules 1
same 2
secret 1
seem 1
sends 1
sensation 1
sent 1
set 1
share 1
shatter 1
she 9
shed 1
sideeffects 1
since 4
smashing 2
snapped 1
soak 2
sourcery 1
speaks 1
specific 1
spelled 1
spinning 1
spring 1
start 2
started 3
starting 1
starts 1
state 1
sto 1
stolen 1
stop 5
stopped 1
stops 1
storm 1
story 1
successful 1
such 1
suggests 1
surprise 1
surprised 1
susan 9
sweeper 3
sword 1
takes 1
taking 1
taste 1
tell 1
than 2
that 12
the 80
their 6
them 3
theme 1
themselves 1
then 1
thereby 1
therefore 1
they 7
this 5
though 1
three 2
through 2
throughout 2
time 11
timestorer 1
to 40
told 2
too 1
training 1
triumphed 1
try 1
trying 1
two 2
unable 1
unconscious 1
understand 1
understandable 1
unfreezing 1
unity 3
unpredictability 1
unpredictable 1
unspecified 1
up 3
upset 1
used 1
useful 1
using 2
valley 1
want 1
war 1
was 4
way 2
ways 1
wen 1
went 1
were 1
what 1
when 5
where 2
which 5
who 5
whom 1
whose 2
will 1
window 1
with 8
won 1
words 1
work 1
workshop 2
world 2
would 1
young 2
