23898865
/m/076yk4v
/m/076yk4v
Simon Kernick
2002
01 1
a 16
accountant 1
acts 1
after 2
almost 1
an 1
and 23
anything 1
appearance 1
are 3
asks 1
at 5
away 5
back 1
be 1
before 1
being 2
black 1
block 1
book 1
but 5
by 4
calls 1
car 4
case 2
chair 1
chase 1
chases 1
cherokee 1
cold 1
comes 1
customs 1
danny 2
dead 1
dealers 1
dennis 7
did 1
die 1
different 1
do 1
does 3
door 1
drive 1
drivers 1
drives 1
drug 1
efit 1
end 1
fake 1
finds 2
fire 2
flying 1
followed 1
for 1
friend 1
from 1
get 1
gets 3
girl 1
go 2
goes 2
going 1
guards 1
guns 1
guy 1
had 1
halt 1
has 1
have 1
he 15
her 1
him 8
himself 1
hired 1
his 3
holiday 1
home 1
hoodies 1
hooker 1
hotel 3
house 1
hurts 1
id 1
in 2
into 1
involved 1
is 6
it 8
jeep 1
just 1
keen 3
kill 3
killed 3
killing 1
kills 2
left 1
make 1
makes 1
men 2
might 1
milne 3
murder 1
new 1
news 1
night 1
normal 1
not 3
november 1
of 6
off 1
officer 1
officers 1
on 9
one 1
other 1
out 3
park 2
passport 1
people 1
philippines 1
pm 1
police 3
prostitute 2
question 1
raymond 3
rest 1
road 1
run 1
runs 1
say 2
says 2
scene 1
seen 1
separate 1
set 1
setting 1
she 2
shoots 2
should 1
show 2
side 1
something 1
starts 1
stopped 1
street 1
talk 2
terrible 1
that 2
the 23
their 1
them 1
then 4
they 6
think 2
thinking 1
third 1
three 1
to 13
tortures 1
towards 1
traveler 1
tries 1
try 1
trying 1
turns 1
two 3
unarmed 1
up 4
waiting 1
walk 1
walks 1
was 2
ways 1
what 2
when 3
while 1
who 2
with 2
woman 1
working 1
worse 1
wraps 1
