11641451
/m/02rmg5l
/m/02rmg5l
Graham Swift
2007
144 1
145 2
160s 1
166 1
17 1
170 1
172 1
20 1
25 1
34child 1
34mr 1
a 22
abandoned 1
about 2
adopt 2
advises 1
after 7
again 2
age 3
all 2
alone 1
along 1
already 2
also 2
an 7
and 26
announcement 1
anonymous 1
anybody 3
are 1
arent 1
art 2
artificially 1
as 7
at 5
available 1
aware 1
away 1
babies 1
be 4
become 2
becomes 3
before 2
big 1
biggest 1
biological 1
biology 1
birth 1
blow 2
bluntly 1
boarding 1
born 3
both 4
broach 1
but 3
by 2
call 1
camp 1
campbell 1
can 1
careersmdashmike 1
cat 1
century 1
cheated 1
child 5
childless 1
children 5
choose 1
christen 1
code 1
come 1
conceived 1
confidant 1
contributes 1
countryside 1
couple 1
court 1
crisis 1
culminates 1
dad 1
darlings 1
dawning 1
day 1
days 1
dealer 1
death 2
deceased 1
decide 4
decides 2
deciphering 1
deeply 1
delicate 1
development 1
develops 1
diagnosed 1
different 1
divorce 2
divorced 1
do 1
does 1
donor 1
dougie 1
down 1
dreadful 1
dripping 1
during 2
each 2
early 1
editor 1
effort 1
end 3
england 1
english 2
entrepreneur 1
especially 2
estrangement 1
even 2
eventually 2
ever 1
exactly 1
explain 1
fact 1
falls 1
far 1
farreaching 1
father 3
father3s 1
feel 1
feels 1
field 1
fight 1
finishing 1
fiona 2
first 1
fledgling 1
fling 1
focal 1
for 7
from 3
germany 1
get 2
girls 1
give 1
gives 1
go 1
god 1
goes 1
gradually 1
grandchildren 1
grandma 3
grandpa 2
growing 1
had 1
hand 1
happened 1
hardly 2
has 2
hastily 1
have 6
he 5
heads 1
helen 2
her 13
high 1
him 2
his 8
home 1
hook 1
hoped 1
how 1
however 2
hurts 1
i 1
if 1
imagine 1
immediately 1
imminent 1
implications 1
in 23
infertility 1
inform 1
inseminated 1
instinct 1
insuperable 1
intense 1
interest 1
interestmdashthat 1
is 14
it 7
january 1
journal 1
judge 1
junior 1
just 5
kate 1
kind 1
knew 1
known 2
legs 1
let 1
life 2
lifestyle 1
like 1
literature 1
little 2
lives 3
london 1
look 1
looked 1
lose 1
love 1
lover 1
make 1
makes 1
man 2
married 3
marries 1
maternal 1
mckay 1
meant 1
meantime 1
medicine 1
meeting 1
meets 1
mental 1
midforties 1
might 4
mike 6
mike3s 1
minds 1
mine 1
moment 1
monogamous 1
months 1
more 1
mother 2
motherinlaw 1
much 2
must 1
muster 1
my 1
natural 1
nature 1
neighbour 1
never 1
new 2
news 1
nick 1
night 1
not 8
note 1
nothing 1
of 21
off 2
offers 1
oilderived 1
on 3
one 5
only 3
opened 1
options 1
or 3
other 3
otis 4
otis3s 1
our 1
out 3
over 1
own 4
parents 2
partner 1
passively 1
paula 15
paula3s 1
pete 3
pill 1
point 1
pointing 1
pregnant 1
pretty 1
prisonerofwar 1
problem 2
procreate 1
procreative 1
promiscuous 1
prompts 1
pursuing 1
quite 1
raf 1
rather 1
read 1
realise 1
recently 2
reconsider 1
redding 1
rejoins 1
relationship 1
remain 1
remains 2
reproductive 1
respective 1
rest 1
return 1
revelation 1
roots 1
running 1
s34 1
sadly 1
safe 1
sake 1
saymdashand 1
school 3
science 1
scottish 1
second 1
secret 1
secretary 1
sees 1
sense 1
sent 1
several 1
she 4
sheer 1
shortly 1
shot 1
should 1
situation 1
sleepless 1
small 1
so 5
some 1
somewhere 1
son 1
soon 1
spend 1
spends 1
sperm 1
spirit 1
stage 1
start 1
starting 1
stay 1
still 2
strictly 1
struggling 1
student 1
study 1
subject 1
substitute34 1
successful 1
suppressing 1
survives 1
sussex 2
sympathetically 1
tails 1
take 1
takes 1
talks 1
tell 2
tested 1
texanaberdonian 1
than 2
that 11
the 41
their 13
them 3
themselves 1
there 3
they 9
things 1
this 3
through 1
to 34
together 2
told 1
true 1
truly 1
try 2
tune 1
turn 2
turned 2
turns 1
twenty 1
twins 1
two 1
unclemdashthese 1
university 2
up 2
urge 1
us 2
vet 2
wait 1
war 4
warlike 1
wartime 1
was 6
we 3
wealth 1
wed 1
well 1
were 1
when 3
where 1
whether 1
which 1
while 2
who 4
whom 2
wife 1
wisely 1
wish 2
with 6
world 3
worst 1
would 1
years 2
yet 1
you 1
young 1
your 2
