5438574
/m/0dlxvv
/m/0dlxvv
Leslie Charteris
1940
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 8
aboard 1
after 1
afterwards 1
almost 1
an 2
and 8
are 1
arrival 1
as 2
attached 1
be 2
between 1
body 2
british 1
but 1
by 3
challenging 1
climibing 1
coast 1
corpse 1
days 1
dead 1
disappearance 1
discover 1
discovers 1
eager 1
explodes 1
explosion 2
far 1
fastwitted 1
few 1
find 1
finds 1
florida 2
for 2
found 1
friend 3
friends 2
from 2
give 1
her 2
himself 2
his 1
hms 1
holm 1
hoppy 2
house 1
however 1
husband 1
in 2
investigation 1
invitation 1
is 2
later 1
launch 1
leaving 1
lifebelt 1
link 1
local 1
march 4
miami 1
millionaire 1
moored 1
named 1
nazi 1
not 2
nowhere 1
of 5
off 1
on 1
one 1
only 1
operating 1
out 1
pat 1
patricia 4
police 1
proves 1
randolph 1
residence 1
ring 1
sailor 2
saint 3
secrets 1
sends 1
sheriff 1
shore 1
sidekick 1
simon 3
soon 2
stateroom 1
submarine 1
suspects 1
take 1
tanker 1
targeted 1
templar 3
the 17
to 6
trio 1
triton 1
uncovers 1
uniatz 1
up 3
upon 1
visit 1
washed 1
who 1
wrist 1
yacht 2
yachtsman 1
