894970
/m/03mmm8
/m/03mmm8
Roald Dahl
1961
5 1
86th 1
a 23
able 1
about 2
above 1
abuse 1
across 1
adventure 1
adventures 1
afternoon 1
air 5
all 6
allowing 1
almost 2
also 1
although 1
an 4
and 41
angered 1
anthropomorphic 2
any 1
appear 1
appears 1
are 7
army 1
around 1
as 11
asks 1
at 3
atlantic 1
attacked 1
attic 1
attraction 1
aunts 5
away 6
azores 1
back 1
bait 1
band 1
bare 1
battered 1
be 5
beaten 1
because 1
become 1
becomes 2
been 1
before 1
befriends 1
begin 1
begins 4
believe 1
believing 2
below 2
between 1
beyond 1
bite 1
bites 1
blind 1
blossom 1
bomb 1
book 1
boy 1
bright 1
bring 1
broken 1
brought 1
building 1
bushes 1
but 6
by 9
called 1
can 1
carry 2
cavernous 1
center 1
centipede 4
central 2
certain 1
channel 1
chapter 1
cheer 1
childhood 1
children 2
chocolate 1
chunks 1
city 2
civilization 1
cliffs 2
climbing 1
cloud 2
cloudman 2
cloudmen 7
clouds 3
collect 1
companions 1
contents 1
control 1
cottage 1
crocodile 1
crowd 1
cruel 1
crying 1
curiously 1
damaged 1
dawn 1
deck 1
delicious 1
desolate 1
destroyed 1
dirges 1
discover 1
discovers 1
distances 1
does 1
dover 1
down 5
drifts 1
drudge 1
drunk 1
earthworm 1
eaten 2
empire 1
enchanted 1
england 1
english 1
enough 1
entering 1
entertains 1
entire 1
escape 1
escaped 1
even 1
ever 1
everfriendly 1
excitement 1
expanses 1
explains 1
factory 1
fall 1
falling 1
falls 1
famous 1
far 1
father 1
fed 1
feel 1
feet 1
fiercely 1
figures 1
find 1
fire 1
first 1
five 1
flat 1
flesh 1
fleshy 1
flies 1
floating 1
floats 2
floor 1
floorboards 1
for 6
forced 2
form 2
former 1
free 1
freed 1
friends 4
from 15
fruit 4
further 1
futures 1
gather 1
get 2
gets 2
ghostlike 1
giant 15
given 2
gives 1
glimmering 1
glowinggreen 1
go 1
great 2
green 1
ground 1
group 1
grows 1
had 2
hail 2
hailstones 1
hairs 1
hands 1
hanging 1
happiness 1
hardly 1
has 3
he 6
head 1
henry 1
heroes 1
high 1
higher 2
hill 3
hilltop 1
him 5
his 11
hitting 1
hollow 1
hollowedout 1
home 3
hours 1
house 4
houses 1
huge 1
humans 1
hundred 1
hundreds 2
if 1
impaled 1
improperly 1
in 20
indeed 1
infuriating 1
inhabitants 6
insect 2
insects 3
inside 2
instead 1
insults 1
interesting 1
into 4
is 15
islands 1
it 11
its 3
james 24
jaws 1
jet 1
join 1
jug 1
juice 1
juicy 1
keeping 1
knows 1
large 1
last 1
later 1
leads 1
leaking 1
life 1
lifts 1
lighter 1
live 2
lives 2
living 1
loathe 1
located 1
locked 1
london 1
long 1
loudmouthed 1
loving 1
lure 1
magic 2
magical 1
make 1
making 1
man 2
mansion 1
martians 1
mass 1
meanwhile 1
merely 1
middle 1
military 1
millions 1
mixes 1
money 1
monsters 1
moonlit 1
mother 1
mountainlike 1
much 1
mysteriously 1
named 1
near 1
nearby 1
never 1
new 2
night 2
not 2
now 3
nuclear 1
observation 1
ocean 2
of 38
off 3
old 2
on 7
once 1
one 2
onto 1
open 1
or 2
orangecoloured 1
other 3
out 3
outside 2
over 2
own 1
panic 1
parade 1
parents 1
park 1
passenger 1
past 1
peach 35
peeking 1
pelt 1
people 4
physically 1
play 1
playmates 1
plight 1
plot 1
police 1
potential 1
potion 1
powerful 1
powerfully 1
preparing 1
pretty 1
previously 1
promises 1
pull 1
quicker 1
quickly 2
ragtag 1
raid 1
rainbow 1
reason 1
releasing 1
remains 1
rescue 1
rescued 1
residents 1
resourceful 1
rest 1
result 1
revealed 1
rhino 1
ribald 1
rises 1
roll 1
rolling 1
rolls 1
rubbish 1
rundown 1
running 1
sack 3
saved 1
sea 2
seagull 1
seagulls 10
see 3
services 1
severely 1
severing 1
sharks 2
shelters 1
shopping 1
shove 1
shrinks 1
silk 1
silken 2
silkworm 1
single 1
size 1
skewered 2
skyscrapers 1
sleep 1
smashes 1
snowballs 1
snowy 1
so 2
some 1
somewhat 1
south 1
spherical 1
spider 1
spiderwebs 1
spiker 4
spills 1
sponge 4
squashing 1
state 1
stations 1
steeplejacks 1
stem 3
stone 5
story 1
strain 1
strange 1
streets 1
strings 4
stumbles 1
subway 1
summer 1
summertime 1
sun 1
suspended 1
swarm 2
take 1
taken 1
ten 2
that 4
the 144
their 2
them 2
then 1
there 1
they 5
this 2
thousand 1
thousands 1
three 2
through 7
throw 1
tied 2
tiny 1
tip 1
to 33
together 1
tongues 3
tourist 1
transformed 1
treated 1
tree 3
trip 1
trips 1
trotter 1
try 1
tunnel 1
turned 1
two 1
undamaged 1
unfinished 1
up 2
upon 1
upside 1
using 2
venture 1
ventures 1
verbally 1
very 1
villages 1
waiting 1
wake 1
wanted 2
water 1
way 1
weather 2
weightless 1
welcoming 1
were 2
what 1
when 6
where 1
which 6
while 2
white 2
who 4
will 2
with 8
within 2
world 3
years 3
york 1
