12362015
/m/02w11nr
/m/02w11nr
Robin Cook
2006
a 9
afternoonand 1
agrees 1
alexisnow 1
alleged 1
an 1
and 10
anything 1
are 2
as 2
at 1
attention 1
attorney 1
availability 1
begs 1
beleaguered 1
boston 1
bowman 3
box 1
brotherinlaw 1
burdened 1
but 2
by 1
care 1
career 1
city 1
comes 1
companies 1
concierge 1
continuously 1
corpse 1
craig 4
defense 1
devoted 1
discovery 1
disprove 1
do 2
door 1
dr 2
drags 1
each 1
earning 1
endured 1
enraged 1
enter 1
estranged 1
examiner 1
exclusive 1
exhume 1
experience 1
expert 1
falling 1
for 2
forced 1
forensic 1
from 2
gets 1
grinding 1
grueling 1
halt 1
handpicked 1
he 6
help 1
her 1
him 1
his 4
humiliated 1
husband 1
idyllic 1
in 3
income 1
insurance 1
irreverent 1
is 6
jack 5
just 1
keep 2
kind 1
last 1
lavishing 1
learning 1
legal 1
less 2
life 1
line 1
little 1
longer 2
making 1
malpractice 2
medical 5
more 3
most 1
much 2
new 1
no 2
now 2
of 6
offer 1
office 1
on 4
one 2
open 1
opens 1
others 1
pandora 1
partner 1
patients 2
people 1
personalized 1
physician 1
practice 2
provides 1
put 1
reimbursements 1
see 1
seriously 1
served 1
service 1
services 1
shocked 1
significanceand 1
significant 1
sister 1
spending 1
stapleton 1
suggestion 1
summons 1
sunny 1
taken 1
than 1
the 7
there 1
this 1
time 1
to 11
trained 1
training 1
travel 1
tremendous 1
trial 1
trouble 1
truth 1
twentyfourhour 1
unwelcome 1
verge 1
when 2
while 1
who 2
wifetearfully 1
will 1
with 2
witness 1
works 1
worse 1
years 1
york 1
