3137061
/m/08ttmj
/m/08ttmj
Graham Swift
1983
a 18
abortion 2
about 1
accidental 1
according 1
affair 1
after 1
again 1
agree 1
already 1
also 1
an 6
and 16
anything 1
approach 1
area 1
arrest 1
arrested 2
arrival 1
as 5
asks 1
at 1
atkinsons 1
attends 1
away 1
baby 2
badly 1
be 1
because 2
been 4
before 2
begins 2
beside 1
birth 1
both 1
brewery 1
bring 1
broader 2
brother 1
bulk 1
but 3
by 3
cannot 1
career 1
causes 1
cease 1
centuries 1
change 1
child 2
children 2
clocks 1
close 1
combined 1
comes 1
coroners 1
cottage 1
couple 1
covers 1
crick 1
crone 1
currents 1
daughter 1
department 1
development 1
devoted 1
dick 2
died 1
dies 1
discovers 1
distraught 1
disturbed 1
do 1
doing 1
done 1
drawn 1
drowning 1
drunken 1
early 1
eight 1
entice 1
events 1
excuse 1
exist 1
explains 1
fails 1
family 1
farm 1
father 7
fathers 1
festering 1
fiftytwo 1
fighting 1
finally 3
finds 1
for 6
forced 1
forces 1
freddie 3
from 4
genealogy 1
general 1
generations 1
gift 1
giving 1
go 1
god 1
great 1
greenwich 2
grown 1
grows 1
has 7
have 3
he 8
headmaster 2
her 8
him 3
himself 1
his 10
historical 2
history 5
home 2
hundred 1
if 1
ii 1
impending 1
in 9
increasingly 1
information 1
inquest 1
interest 1
interwoven 1
into 5
involves 1
is 16
isolated 1
it 4
its 1
learning 1
leaves 1
leaving 1
lies 1
little 1
lives 1
local 2
lockkeeper 1
lockkeepers 1
long 1
makes 1
marriage 1
married 1
marry 1
mary 11
master 1
matures 1
mean 2
men 1
miscarriage 1
mother 2
mothers 1
must 1
new 1
no 1
not 1
now 1
obviously 1
of 12
old 4
on 2
one 1
oriented 1
ouse 1
own 1
pain 1
parr 1
part 1
performs 1
persons 1
physicist 1
place 1
plot 3
position 1
pregnant 1
price 1
primary 2
provoke 1
publicity 1
pulls 1
pushes 1
questions 1
realising 1
reared 2
receives 1
recollection 1
reflects 1
relates 1
relating 1
relationship 1
relevance 1
religious 1
remains 1
resists 1
resolution 1
retire 1
retirement 2
river 1
run 1
saying 1
scepticism 1
school 3
scientifically 1
seclusion 1
secondary 2
sees 1
sense 1
sets 1
several 1
she 7
since 1
slip 1
sluice 1
snatching 1
so 2
some 2
sons 1
steals 1
sterile 1
story 3
strict 1
struggles 1
students 3
studies 1
subject 1
subplot 1
suffering 1
swim 1
sympathy 1
takes 1
taking 1
tales 2
teaching 4
teenage 1
telling 2
that 12
the 33
their 2
them 1
thirty 1
this 3
those 1
three 2
time 2
to 22
together 1
told 1
tom 13
toms 9
tributary 1
tries 2
two 3
unfold 1
unknown 1
upbringing 1
uses 1
war 1
waterland 1
when 2
where 2
while 1
who 4
wife 1
with 4
world 2
would 2
written 1
years 5
youths 1
