14971361
/m/03h3c2p
/m/03h3c2p
Desmond Bagley
1966
{"/m/01jfsb": "Thriller"}
a 7
about 1
against 1
an 1
and 5
armed 1
as 2
background 1
based 1
be 1
by 1
capital 1
caribbean 1
civil 1
convince 1
convinced 1
david 1
dictator 1
erupts 1
eventually 1
fernandez 4
fictional 1
flights 1
flood 1
from 1
general 1
government 1
grenada 1
haiti 1
has 2
he 2
headon 1
hear 1
his 2
history 1
hundred 1
hunter 1
hurricane 4
important 1
in 1
indian 1
is 4
island 1
it 1
its 1
killing 1
kitts 1
mabel 1
megalomaniacal 1
meteorologist 1
more 1
most 1
much 1
nation 1
navy 1
not 1
nothing 1
of 5
originally 1
out 1
over 1
paranoid 1
patterns 1
pierre 1
political 1
potentially 1
problem 1
rebels 1
researching 1
revolt 1
rule 1
san 4
serious 1
serrurier 1
severe 1
similar 1
st 2
states 1
storm 1
storms 1
strike 1
strikingly 1
struck 1
struggles 1
such 1
superiors 1
surge 1
that 3
the 5
their 1
things 1
thousands 1
to 3
united 1
war 1
way 1
weather 1
west 1
white 1
will 4
with 3
working 1
worry 1
wyatt 3
years 1
