839306
/m/03fxh2
/m/03fxh2
James Baldwin
1953
{"/m/012jgz": "Autobiographical novel"}
130s 1
a 32
abandoning 1
abuse 1
abusive 1
accepted 1
acquitted 1
admonishes 1
affair 1
africanamerican 1
after 2
allow 1
also 1
although 1
always 1
an 1
and 26
are 2
arrested 1
as 7
at 2
attraction 1
aunt 2
away 2
baby 1
band 1
baptized 1
barroom 1
become 1
been 1
before 2
beginning 1
believe 1
biological 1
birth 1
born 1
boss 1
both 1
boy 1
boyfriend 1
brief 1
brother 1
but 5
buys 1
by 4
career 1
carried 1
caught 1
causing 1
chapter 2
characters 1
chicago 2
childhood 1
children 1
chose 1
christ 1
church 4
close 1
cold 1
commit 2
continue 1
conversion 1
convictions 1
court 1
damned 1
death 2
deathbed 1
deborah 3
denomination 1
description 1
despite 1
devout 1
did 1
didnt 1
dies 3
disciplinarian 1
disgusted 1
dissolute 1
does 1
doesnt 1
dreamlike 1
dreams 1
drunken 1
ecstasy 1
elisha 1
elizabeth 8
ends 2
escape 1
esther 6
even 1
eventually 2
experience 2
faith 2
fall 1
falls 1
family 2
father 5
favored 1
feel 1
few 1
fight 1
final 1
finds 3
fire 1
first 1
floor 2
florence 10
for 6
forced 1
forms 1
france 1
frank 3
freed 1
friend 3
from 4
gabriel 16
gangraped 1
girl 1
girlfriend 1
gives 1
giving 1
go 1
goes 2
gone 1
group 1
guilt 1
had 1
hands 1
harassment 1
harlem 2
has 4
hates 1
have 1
he 11
heaven 1
hell 2
her 18
herself 1
him 3
himself 2
his 20
home 1
hopes 1
however 1
husband 2
hush 1
i 1
imperious 1
in 18
including 1
introduces 1
is 16
it 2
jesus 2
job 1
john 7
just 1
killed 1
killing 1
knew 1
know 1
knows 1
later 1
leads 1
leaves 3
life 3
live 2
man 1
marriage 1
marries 2
marry 1
matter 1
medium 1
meets 1
members 1
men 1
months 1
mother 4
murder 1
named 3
need 1
never 2
new 4
night 2
nominally 1
not 3
of 17
officers 1
old 1
older 1
on 2
one 3
oneway 1
only 1
opening 1
or 2
order 1
out 4
over 1
past 1
pentecostal 2
philosophy 1
physical 1
police 1
power 1
powerless 1
prayer 3
preacher 2
pregnant 2
promise 1
protestant 1
raised 1
rebirth 1
regains 1
relationship 2
religious 3
resist 1
resulting 1
returns 2
revealed 1
reverend 1
revisited 1
richard 2
robbery 1
royal 3
running 1
salvation 1
same 1
saved 1
savings 1
savior 1
says 1
sees 2
selfeducated 1
senses 1
series 1
sexual 1
she 8
shortest 1
sinner 1
sins 1
slave 1
slightly 1
son 4
sordid 1
south 1
spiritual 1
spiritualist 1
standing 1
start 1
starts 1
steals 1
stop 1
story 3
strength 1
strict 1
struggle 1
successful 1
suicide 1
suspected 1
takes 2
teenager 2
tell 2
tells 3
temple 1
ten 1
that 6
the 25
their 3
them 1
then 4
threatens 1
three 1
through 1
ticket 1
to 28
tough 1
town 1
train 1
trial 1
unable 2
up 2
uses 1
very 1
visions 1
war 1
was 4
ways 1
when 4
where 2
which 3
while 1
white 4
who 7
whom 1
wife 2
with 8
within 1
without 1
woman 2
womanizing 1
work 2
world 1
wounding 1
yearning 1
years 1
yet 1
york 4
young 2
younger 1
