8691327
/m/027f416
/m/027f416
Algis Budrys
1977
a 9
accident 1
achievements 1
actually 1
ago 1
all 1
also 1
an 3
and 4
any 1
appliance 1
artificial 1
as 6
astronaut 1
astronautics 1
at 2
be 1
been 1
believed 1
by 2
called 1
can 1
commission 1
communication 1
compensating 1
computerized 1
confidante 1
control 1
controls 1
create 2
created 1
digital 1
domino 4
electronic 1
eponymous 1
equipment 1
events 1
evolved 1
existence 1
extraterrestrial 1
fact 1
failed 1
fictitious 1
for 1
future 1
hard 1
has 3
have 1
he 2
him 1
his 4
image 1
immensely 1
important 1
in 7
influence 1
intellectual 1
intelligence 1
interfering 1
international 1
into 1
is 7
its 1
joint 1
just 1
killed 2
kinds 1
known 1
laurent 2
learns 1
least 1
loss 1
many 1
may 1
means 1
michaelmas 8
michelmas 1
miraculously 1
mission 1
modest 1
more 1
most 1
much 1
nations 1
near 1
networks 1
new 1
newsman 1
notably 1
novel 3
now 1
of 10
omnipresence 1
one 1
only 1
or 1
organizing 1
originated 1
over 1
part 1
partner 1
past 1
peace 1
penetrate 1
possible 1
power 1
powerful 1
presence 1
progresses 1
project 1
protagonist 1
public 1
reports 1
saved 1
scenario 1
selfaware 1
set 1
slowly 1
so 1
space 1
sparring 1
starts 1
success 1
successfully 1
suffered 1
sustain 1
symbol 1
telephony 1
that 4
the 14
them 1
threatening 1
time 3
to 6
travel 1
turns 1
unac 2
unfold 1
united 2
up 1
used 1
was 2
when 2
which 1
wife 1
with 1
worked 1
world 4
worldrenowned 1
writing 1
years 2
youth 1
