31448171
/m/0glrqyk
/m/0glrqyk
Jacqueline Kelly

18 1
1th 1
20th 2
a 9
about 5
adequate 1
adjusts 1
adult 1
after 1
ahead 1
all 2
an 3
and 11
anything 1
are 2
around 2
as 4
ask 1
at 6
balance 1
be 1
begins 1
best 1
between 1
beverage 1
book 3
bring 1
brings 1
brother 1
brothers 1
by 1
called 1
callie 12
calpurnia 2
cannot 1
catching 1
century 3
changes 1
charles 1
cheese 1
christmas 1
cocacola 1
collection 1
compared 1
conundrum 1
cook 2
copy 2
courage 1
course 1
curious 1
darwin 1
dawns 1
day 2
days 1
decides 1
demeanor 1
desperately 1
different 2
disastrous 1
distant 1
does 1
during 1
dying 1
easy 1
eggs 1
elsewhere 1
encounter 1
end 1
ends 1
entitled 1
even 1
evolves 1
excelling 1
fact 1
fails 1
falling 1
family 1
fears 1
feisty 1
fentress 1
figure 1
find 1
finds 1
first 1
for 4
forced 1
freeroaming 1
friend 1
friendship 1
frightening 1
from 1
gift 1
girl 1
granddaddy 4
granddaughter 1
grandfather 1
grasshopper 1
grasshoppers 2
has 1
her 19
herself 1
him 1
his 2
home 1
hopeful 1
horizon 1
house 3
housewifery 1
illicit 1
imposing 1
in 9
incapable 1
independent 1
infamous 1
introduction 1
inventions 1
is 12
it 3
just 1
knit 1
know 1
lady 2
ladylike 1
lawn 1
learn 2
learning 1
leaving 1
librarian 1
library 1
life 1
little 1
loom 1
love 1
lula 2
machine 1
marvelous 1
may 1
miserably 1
most 1
mother 2
mr 1
much 1
must 2
natural 1
near 1
needlepoint 1
new 3
not 1
noticing 1
novel 1
obvious 1
of 16
old 1
on 2
one 1
opportunities 1
origin 1
other 1
outside 1
own 3
painfully 1
pecan 1
perfect 1
personal 1
personality 1
piano 1
pianoplaying 1
pitiful 1
placed 1
plantation 1
play 1
poor 1
presented 1
proper 1
pursuits 1
rather 1
reader 1
receives 1
relay 1
remember 1
responsibilities 1
restrictions 1
river 1
sadly 1
sandwiches 1
science 1
sciences 1
search 1
she 7
side 1
six 1
sizes 1
skills 1
small 1
so 2
softboiled 1
soon 1
sort 1
species 1
specimens 1
spending 1
straggly 1
summer 2
swim 1
symbolizes 1
tate 1
teach 1
telephone 1
tells 1
texas 2
than 2
that 5
the 33
then 1
theory 1
there 1
this 2
though 2
three 1
throughout 1
thus 1
time 1
tiny 1
to 10
town 2
tramping 1
trapping 1
tries 1
turn 2
twelve 1
two 2
types 1
ultimately 1
unexceptional 1
up 1
very 1
virginia 1
watch 1
we 1
when 3
which 1
while 1
why 1
wildlife 1
will 1
wind 1
with 8
work 1
worries 1
would 1
young 1
