4016325
/m/0bcp1n
/m/0bcp1n
Henry James

a 6
abundantly 1
all 1
although 1
and 4
anguish 1
around 1
as 1
at 2
become 1
begins 1
brings 1
chatter 1
child 1
course 1
custodian 2
decides 1
delivering 1
devoted 1
doubt 1
dull 1
england 1
englishspeaking 1
female 1
fiction 1
finally 1
fog 1
forced 1
from 2
gedge 3
gets 2
give 1
granite 1
he 4
hell 1
hesitate 1
hilarious 1
him 1
his 3
home 1
house 2
how 1
if 1
in 4
increase 1
installed 1
is 6
it 2
james 1
last 1
lecture 1
librarian 1
library 1
mecca 1
mentioned 1
morris 2
name 2
never 1
notebooks 1
obvious 1
of 4
offer 1
on 1
once 1
planning 1
played 1
proprietors 1
provincial 1
qualify 1
race 1
raise 1
receipts 1
section 1
shakespeare 3
shows 1
shrine 1
silliness 1
spiel 1
starts 1
story 2
stratfordonavon 1
supply 1
supreme 1
tale 1
that 2
the 15
this 1
to 7
tourists 2
twice 1
used 1
visit 1
wanted 1
warning 1
was 1
welcome 1
what 1
when 1
who 1
whom 1
wife 1
