13900857
/m/03cmp36
/m/03cmp36
Raymond Abrashkin

a 2
aided 1
all 1
american 1
and 1
appearance 1
are 1
being 2
benjamin 1
british 1
bullfinch 1
by 3
confusion 1
danger 1
danny 1
device 1
during 1
experiment 1
explore 1
find 1
following 1
franklin 1
in 3
into 1
invention 1
irene 1
is 1
joe 2
life 1
marooned 1
meantime 1
number 1
observed 1
of 4
one 1
only 1
past 2
present 1
professor 2
return 1
rule 1
second 1
secretly 1
society 1
startled 1
the 10
their 2
them 2
time 2
to 3
transports 1
travel 2
under 1
with 1
works 1
youngsters 2
