10812887
/m/02qqtq_
/m/02qqtq_
Carolyn Keene

a 9
against 1
also 2
an 1
and 3
another 1
are 1
around 1
as 2
asked 1
beat 1
beauty 1
been 2
before 2
big 1
building 1
busy 1
cases 1
club 2
college 1
commercials 1
couple 1
deadlines 1
deserted 1
detective 1
disruption 1
disturbing 1
drew 1
enemies 1
enough 1
everything 1
farm 1
figure 1
film 4
finish 1
flames 1
for 1
force 1
friends 1
from 1
goes 1
has 4
have 1
help 1
his 1
horror 1
horse 1
if 1
in 4
is 5
it 2
its 2
keep 1
keeps 1
making 1
mansion 1
many 1
may 1
missing 1
model 1
movie 2
mysterious 1
mystery 1
nancy 5
nearby 1
ned 2
new 1
of 3
old 1
out 1
owner 1
popular 1
prize 1
product 1
race 2
racehorse 1
return 1
ruins 1
series 1
seriously 1
set 1
she 1
shooting 1
solve 1
some 1
someone 1
spooky 1
star 2
stolen 1
take 1
taken 1
that 1
the 6
their 2
there 1
they 1
thoroughbred 1
time 2
to 9
tv 1
two 1
up 2
valuable 1
vampire 1
werent 1
when 1
which 1
