12459298
/m/02w6yxp
/m/02w6yxp
Jean Thesman

a 1
abbey 1
about 1
aid 1
along 1
alternative 1
an 2
and 5
apostate 1
are 1
arts 1
as 1
at 2
be 1
become 1
been 1
before 1
brennan 1
but 1
by 1
caddaric 2
children 1
combat 1
created 1
destiny 1
escapes 2
evil 1
father 1
finally 2
first 1
for 2
four 1
friend 1
from 1
gifted 1
gifts 1
gwenore 2
has 1
he 1
healing 1
her 9
home 1
imprisoned 1
in 2
is 1
kingdom 1
learns 2
lir 1
made 1
magical 1
mother 3
mysterious 1
natural 1
of 5
priest 1
punished 1
rhiamon 1
sanctuary 1
seemingly 1
she 6
showdown 1
slavegoverness 1
slaveservant 1
spellbound 1
swans 1
takes 1
teachers 1
the 7
then 1
to 4
tom 1
transformed 1
ultimate 1
way 1
where 1
who 1
wicked 1
witch 1
with 2
women 2
years 1
