15885903
/m/03qdkps
/m/03qdkps
Kurt Eichenwald
2000
{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/06ms6": "Sociology"}
100 1
10s 1
12 2
500 1
a 30
about 1
account 1
acid 1
acting 1
action 1
activities 1
activity 1
adamantly 1
addition 1
additive 1
additives 1
adm 14
adms 1
after 4
afterwards 1
agenda 1
agent 2
agents 6
agreement 1
agribusiness 1
all 2
almost 1
along 1
also 6
an 5
and 31
andreas 1
another 1
antitrust 2
any 1
archer 1
army 1
around 2
as 7
ashcroft 1
asian 1
assisted 1
associated 1
associates 1
at 6
attempt 2
attempted 1
attorney 2
audio 1
author 1
authorities 1
back 2
based 1
be 1
became 3
because 2
become 2
been 1
began 1
behavior 1
believed 1
between 2
billion 1
billions 1
biochemistry 1
bioproducts 1
biotechnology 1
bipolar 2
bizarre 1
blew 1
bloom 1
blower 1
both 2
bounced 1
business 1
but 2
by 7
california 1
came 1
cartel 1
cartels 2
case 9
cases 1
central 1
chairman 3
charged 1
charges 1
chief 1
circumstances 1
citric 1
city 1
clandestinely 1
class 1
collected 1
committed 1
companies 1
company 5
competitors 1
confessed 1
connected 1
connections 1
conspiracy 1
conspirators 1
conspired 1
control 1
convince 1
convinced 3
convincing 1
coo 1
cornell 1
corporate 2
covert 1
coworkers 1
crack 1
cracking 1
created 1
crimes 1
criminal 2
criminals 1
cruise 1
customers 1
damning 1
daniels 1
dc 1
dean 1
decatur 1
defrauded 1
delusional 2
democratic 1
department 1
destroy 1
detail 1
did 3
differently 1
disagreed 1
disorder 2
distanced 1
division 1
do 1
documenting 1
doj 2
dollar 1
dollars 3
dramatic 1
driveway 1
duped 1
during 4
dust 1
dwayne 1
early 2
earned 1
eichenwald 1
electrodes 1
elementary 1
embellishments 1
emphasized 1
end 2
ends 1
epstein 5
european 1
events 1
eventually 1
everything 1
evidence 2
executive 3
executives 2
executivesincluding 1
exposed 2
extensive 1
extensively 1
extraordinary 1
extremely 2
failed 1
fantasy 1
far 1
fax 1
fbi 19
federal 4
few 2
figure 1
fines 2
fired 1
firm 2
first 3
fix 2
fixing 2
focuses 1
following 1
food 2
for 14
forbes 1
force 1
forced 1
former 4
fortune 1
fortysix 1
founder 1
fraud 3
from 9
full 1
fully 1
gas 1
gathering 1
getting 1
go 2
going 1
gouged 1
government 10
grandiosity 1
graphite 1
great 1
grisham 1
groundskeeper 1
had 4
have 1
he 15
headlines 1
headquarters 1
health 1
helping 1
hero 1
herself 1
highestlevel 1
highranking 1
him 3
himself 1
himselfroutinely 1
hired 1
his 12
history 3
hit 1
hong 1
hours 1
however 1
hundredfold 1
hundreds 3
if 1
illegal 1
illinois 2
imitated 1
immediately 1
immunity 1
improbable 1
in 33
including 2
indeed 1
indirectly 1
inform 1
informant 3
informing 1
instead 1
into 2
investigation 1
investigator 1
is 4
it 4
its 2
jail 2
james 1
john 1
judgment 1
jules 1
justice 1
known 2
kong 1
kroll 2
kurt 1
larger 2
largest 3
later 4
laundering 1
lawenforcement 1
lawyers 1
leaf 1
learned 1
led 1
lied 1
light 1
lobbied 1
locations 1
longer 2
lysine 3
made 1
magazine 1
manic 1
manicdepression 2
mark 1
marked 1
mcdeere 1
media 1
meet 1
meeting 1
meetings 1
meltdown 1
mental 1
met 1
mexico 1
midland 1
million 2
millions 2
mitch 1
money 1
months 1
more 2
morning 1
most 2
movie 1
much 1
night 1
nights 1
nineyear 1
nixon 1
no 4
not 5
november 1
nutritional 1
obtain 1
oclock 1
odd 1
of 40
off 1
officer 1
officials 3
on 6
one 5
only 1
order 1
otherwise 1
out 2
own 1
paid 3
paisley 2
paper 1
parallels 1
pardon 3
paris 1
participant 1
party 2
peculiarly 1
performance 1
period 1
pervasive 1
phd 1
place 1
played 1
point 1
political 1
poor 1
portion 1
powerful 1
powerhouse 1
presented 1
president 4
presidential 2
pressure 1
pressures 1
prevent 1
price 2
pricefixing 5
prices 2
prison 3
problem 1
producers 1
projects 1
promoted 1
prosecutions 1
prosecutors 2
public 1
punished 1
quest 1
quickly 1
raid 1
recanted 1
received 3
recovering 1
remarkable 1
reported 2
republican 1
result 2
resulting 2
rising 1
same 2
save 2
saved 1
saw 1
schemes 1
school 1
secretly 1
seeing 1
seen 1
sentence 3
sentences 1
settled 2
settlements 1
several 2
simply 1
since 1
sleeping 1
solved 1
some 2
something 1
son 1
sooner 1
spanned 1
stage 1
star 2
sterling 1
stopped 1
stories 2
storing 1
story 2
stunning 1
successful 1
such 1
suffering 1
suggestible 1
suicide 1
supervisor 1
support 3
suspected 1
takes 1
tale 1
tapes 5
taping 3
tax 1
teacher 1
tens 1
tenure 1
than 5
that 9
the 85
their 1
them 1
themselves 1
then 1
they 2
threatening 1
three 6
through 1
thrown 1
thunderstorm 1
time 6
times 1
tipped 1
to 30
tokyo 1
told 2
tom 1
top 2
trained 1
training 1
traveled 1
trial 1
trials 1
tried 1
truecrime 1
trying 1
turn 3
ultimately 1
under 1
undercover 4
university 1
up 2
us 4
use 1
used 1
using 1
value 1
very 2
vice 2
video 1
violated 1
vitamins 1
voluntarily 1
was 21
washington 1
watergate 1
went 1
whatsoever 1
when 1
where 2
which 1
whistle 1
whistleblower 2
whitacre 39
whitacres 1
whitecollar 2
who 3
wife 3
willing 1
wire 1
with 19
witness 2
work 1
working 4
world 3
worst 1
would 2
years 5
young 1
