5121633
/m/0d3nry
/m/0d3nry
Melanie Rawn
1993
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 2
about 2
absence 2
act 1
against 1
aldiar 1
allies 1
ambitious 1
an 2
ancient 2
and 14
andor 1
andry 2
anger 1
are 4
as 3
at 1
attacked 1
balarat 1
been 1
being 2
belonged 1
between 1
boy 2
busy 1
but 3
by 2
camigwen 1
can 1
captive 1
capture 1
continent 1
continues 1
control 1
daughters 1
death 1
devoted 1
devrim 1
discover 2
dorvali 1
enemies 1
enemy 1
family 1
far 1
father 2
fathers 1
fessenden 1
finally 1
firon 2
forced 1
forces 1
friend 1
from 2
goddess 2
grib 1
guarded 1
guilt 1
had 2
hatreds 1
have 1
he 3
heritage 1
hidden 1
high 1
him 1
himself 1
his 6
hurry 1
idalain 2
in 7
including 1
invaders 1
invading 1
is 6
jihan 1
joining 1
keep 3
kierstisel 1
kinsman 1
kostas 1
lives 1
lord 1
lost 1
many 1
meanwhile 1
meiglan 1
mirror 2
more 2
mother 1
mounts 1
must 2
names 1
neutral 1
of 5
old 1
on 2
order 2
orders 1
ossetia 1
other 1
out 1
overcome 1
overtaken 1
past 2
people 1
pol 4
pretend 1
preventing 1
prince 2
princedom 2
princedoms 2
princes 1
princess 1
protect 1
raids 1
reclaimedalthough 1
regent 1
relief 1
remained 1
remains 1
resistance 1
rihani 1
rislyn 1
rosseyn 2
rouse 1
royal 1
saves 1
seat 1
secrets 1
secure 1
sioned 2
slowly 1
so 1
sorcerer 2
sorcerers 1
sorcerous 1
southern 1
squire 2
such 1
swordplay 1
syr 1
taken 1
teach 1
teaches 1
tells 1
that 3
the 19
their 3
them 1
they 1
through 1
tirel 3
to 9
together 1
torn 1
trapped 1
travelling 1
tries 1
try 2
unaware 1
uncle 1
uncover 1
vellanti 1
vellantim 2
war 1
weakness 1
who 1
wife 1
within 2
work 1
yarin 2
young 1
