2775413
/m/08204z
/m/08204z
Moyra Caldecott
1990
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 1
akhenaten 1
all 1
and 7
ankhesenamun 3
at 2
been 1
beloved 1
between 1
bid 1
bitter 1
brother 1
by 2
daughter 1
death 1
delicate 1
desperate 1
division 1
egg 1
even 1
extraordinary 1
fabled 1
factions 1
failure 1
father 1
for 2
forced 2
general 1
half 1
happiness 1
has 1
her 5
horemheb 1
husband 2
in 1
into 1
is 3
last 1
left 1
life 2
link 1
making 1
married 1
marry 1
nefertiti 1
never 1
not 1
of 5
one 2
pharaoh 1
plans 1
political 1
powerful 1
ra 1
religious 1
sacred 1
safe 1
scheming 1
she 1
short 1
the 6
time 2
to 2
tutankhamun 2
vulnerable 1
with 1
young 1
