310992
/m/01t5m5
/m/01t5m5
William Shakespeare

a 11
about 1
action 1
actions 1
acts 1
admit 1
advances 1
affections 1
afoul 1
again 1
against 1
alone 1
also 1
and 25
angrily 1
approves 1
are 4
arrive 1
as 6
at 3
attempt 1
attempts 1
away 1
back 2
band 1
banished 1
banishes 1
be 1
because 1
become 1
before 1
begins 1
begs 1
best 1
bids 1
boy 1
broaden 1
brought 1
but 8
by 4
can 2
captive 1
captures 1
city 1
claim 1
claims 1
clothes 1
come 1
compared 1
confronted 1
consents 1
contrives 1
convinced 1
convinces 1
corded 1
couples 1
course 1
coyly 1
daughter 2
day 1
dead 1
death 1
decide 1
decided 1
decides 1
deeper 1
deeply 1
denounces 1
desire 2
despite 1
determines 1
disappointed 1
discovers 2
discussing 1
disguised 1
disgusted 1
dress 1
duke 7
eglamour 2
elect 1
elope 1
embarrassed 1
encounter 1
escape 1
eternal 1
exchange 1
exiled 1
faints 1
fair 1
falls 1
farewell 2
father 1
feelings 1
feels 2
fidelity 1
fight 1
finds 1
fix 1
flee 1
flees 1
fond 1
foppish 1
for 6
force 1
forest 2
forget 1
forgives 1
former 1
fragments 1
free 1
friend 1
from 1
front 1
furious 1
gave 2
gentlemen 1
genuine 1
gift 1
goes 1
hair 1
happened 1
happily 1
harmed 1
has 3
hate 2
he 14
head 1
help 2
her 23
herself 1
him 10
himself 1
his 9
home 1
horizons 1
horrified 1
however 2
identity 1
ie 1
if 1
ill 1
immediately 1
impressed 1
in 12
informs 1
insinuates 1
instantly 1
intervenes 1
into 2
is 9
it 3
join 2
journey 1
julia 16
keeps 1
key 1
kill 1
killing 1
kisses 1
ladder 1
leader 2
leave 3
left 1
letter 3
lies 1
likes 1
locks 1
loss 1
love 11
lover 1
loves 1
lucetta 5
mad 1
maid 1
makes 1
man 1
marriage 1
marry 1
may 1
means 1
meanwhile 3
milan 7
mourns 1
move 1
must 1
my 1
named 1
next 1
nightly 1
not 3
nothing 1
observed 1
of 12
offer 1
on 3
once 2
one 1
only 1
orders 1
outlaws 5
outside 1
overwhelmed 1
own 1
page 1
pardons 1
persuade 1
persuaded 1
picks 1
piece 1
plans 1
play 1
point 2
preparing 1
produces 1
promises 1
prompting 1
proteus 28
pursues 1
quickly 1
rape 1
rashness 1
realising 1
refuses 1
rejects 1
remembers 1
renounces 1
repentance 1
rescues 1
return 2
reveal 1
revealing 1
ring 1
rings 1
rumoured 1
runs 1
same 1
say 1
saying 1
scorns 1
sebastian 3
secretly 1
seeing 1
seems 1
sends 2
serenade 1
servant 1
she 10
should 1
silvia 15
so 2
soon 1
speed 1
still 2
subsequently 1
suddenly 1
suitor 1
suspects 1
swears 1
taken 1
tearful 1
tears 1
teases 1
telling 1
tells 3
terrified 1
that 16
the 29
thee 1
their 3
them 3
then 4
they 6
thinks 1
this 2
thurio 5
to 32
together 2
told 1
toward 1
tower 1
travel 1
true 1
trying 1
two 2
unaware 1
united 1
until 1
unwilling 1
up 2
upon 2
valentine 20
verona 3
vows 4
wandering 1
wants 1
warns 1
was 2
watching 1
way 1
wealthy 1
what 1
when 1
which 1
while 1
who 5
whom 2
will 5
win 1
wishes 1
with 9
would 1
yield 1
youth 1
