219616
/m/01g33q
/m/01g33q
Francesco Colonna
1499

a 8
about 1
across 1
after 1
air 1
along 1
and 10
another 1
appears 1
architecture 1
are 3
arms 1
as 3
asked 1
asleep 1
at 2
awakens 1
back 1
barge 1
be 1
because 1
begins 1
beloved 2
blesses 1
boatswain 1
book 2
but 1
by 4
celebrating 2
chooses 1
come 1
compels 1
cupid 2
cythera 1
deathlike 1
declare 1
describes 1
directed 1
discovers 1
does 1
dragons 1
dream 2
dreamed 1
encounters 1
engaged 1
erotomachia 1
escapes 1
fallen 1
falls 1
feet 1
first 1
five 1
for 1
forest 1
from 1
gates 1
gets 1
has 2
he 8
her 4
him 1
his 6
in 3
interrupted 1
into 4
is 6
island 1
kiss 1
large 1
last 1
life 1
literally 1
lost 1
love 2
lovers 2
maidens 1
many 1
meet 1
more 2
narrative 2
night 1
nymphs 3
of 5
once 1
onefifth 1
over 1
own 1
point 1
polia 7
poliphilo 7
poliphilus 1
procession 1
processions 1
queen 1
rejects 1
restless 1
resumes 1
return 1
second 2
see 1
shunned 1
some 2
spent 1
swoon 1
take 1
taken 3
takes 1
temple 1
the 12
their 3
then 3
there 3
they 4
thin 1
things 1
third 1
three 1
to 10
transported 1
triumphal 2
two 1
union 2
united 1
up 1
vanishes 1
variety 1
venus 1
view 1
vision 1
voice 1
wakes 1
way 1
where 1
which 1
who 2
wild 1
with 2
within 1
wolves 1
