7405295
/m/0260p6s
/m/0260p6s
Katherine Kurtz
2003
100 2
101 1
108 1
1082 1
1086 1
1088 1
a 13
abilities 1
accompanies 1
across 1
actually 2
additional 1
adjusts 1
advise 1
after 4
again 1
ahern 9
aides 1
alaric 1
already 1
also 1
although 2
alyce 19
an 3
and 26
angrily 1
announces 1
anthony 1
april 1
arcane 1
are 2
arilan 1
as 4
assassinate 1
assassination 1
assist 1
at 2
attack 1
attacks 1
attempt 4
attempts 1
august 1
autumn 1
away 1
back 2
badly 1
bastard 1
be 2
becomes 1
bed 1
before 1
begins 1
betrothal 1
birth 3
bishop 1
blaine 1
body 3
border 1
both 1
boy 1
breed 1
brother 2
but 6
by 1
camberian 3
campaign 2
castle 1
child 5
chooses 1
church 1
commands 1
common 1
confirm 1
confirms 1
congratulate 1
consent 1
continue 1
convent 2
convinces 1
coroth 2
corwyn 4
council 4
court 2
covertly 1
creates 1
cynfyn 1
dame 1
darcenciel 1
daughter 1
daughters 1
day 1
de 1
dead 2
deal 1
death 4
decides 2
delay 1
deryni 4
details 1
developing 1
dies 1
discovered 1
discovers 1
distinguishes 1
does 1
donal 15
down 1
duchy 1
duke 1
during 1
earl 4
education 1
eldest 1
escort 1
escorts 1
events 1
eventually 1
excommunication 1
executes 1
fact 1
fails 1
father 2
fathered 1
february 1
fetch 1
finally 1
first 1
following 2
for 5
forced 1
from 2
funeral 1
further 1
gives 1
growing 1
haldane 2
halfbrother 1
has 1
he 4
health 1
heir 1
heiress 1
heirs 1
her 3
hereditary 1
him 2
himself 1
his 9
household 1
howard 1
however 1
identifying 1
ill 1
impresses 1
in 24
increasingly 1
inform 1
injured 1
into 1
investigates 1
is 16
january 2
jealous 1
jessamy 6
joins 1
june 2
keeps 1
kenneth 7
keryell 2
kill 1
killed 1
king 12
krispin 2
ladies 1
lady 4
ladyinwaiting 1
late 1
later 6
leadership 1
leaving 1
lendour 2
lord 4
macathan 2
marie 7
married 1
marry 1
marrying 1
meanwhile 1
meara 2
mearans 1
meet 1
member 2
members 1
military 2
mind 1
months 2
morgan 3
mounts 1
much 1
murderers 2
muriella 1
natural 1
new 1
next 2
night 1
nine 1
noble 1
not 1
notre 1
novel 1
november 3
now 1
nurses 1
october 1
of 27
on 4
once 1
one 2
over 1
own 1
paternity 1
period 1
place 1
plan 2
pledge 1
plot 1
poisoned 1
powers 1
pregnant 1
price 1
priest 1
prior 1
probe 1
promising 1
protector 3
pursue 1
put 1
queen 2
raiders 1
raised 1
rebellion 1
rebellious 1
regarding 1
relationship 1
remain 1
resolves 1
results 1
return 2
returning 1
returns 2
reveals 2
rhemuth 8
richard 1
richeldis 1
rift 1
role 1
royal 3
rushes 1
s 1
secure 1
september 1
seriously 2
service 3
several 5
she 2
shortly 2
siblings 1
sief 5
siesyll 2
sir 2
sister 2
sisters 1
situation 2
skills 1
slain 1
so 1
sole 1
son 5
sons 2
soon 2
sought 1
span 1
spend 1
stops 1
strike 1
strikes 1
studies 1
succeeds 1
summer 2
summoned 1
suspicions 1
target 1
tend 1
tense 1
that 7
the 63
their 6
thereafter 1
they 2
three 1
to 38
torenthi 1
tragedy 1
travels 1
trelawney 1
twin 1
two 1
unable 1
unsuccessful 1
vera 2
weeks 2
welcomes 1
well 1
when 4
where 1
while 2
who 3
whom 1
wife 1
will 1
with 6
without 1
wounded 2
year 1
years 2
young 1
younger 1
zo 4
