25752074
/m/09v9mf8
/m/09v9mf8


{"/m/02xlf": "Fiction"}
a 3
about 1
ambitious 1
an 1
and 10
anirban 1
as 2
at 2
band 1
based 1
book 1
break 1
brings 1
calcutta 1
campus 3
charmed 1
choices 1
college 1
course 1
creative 1
delhi 2
difficult 1
dilemmas 1
downright 1
dream 1
due 1
during 1
each 1
ensuing 1
enters 1
existence 1
experiences 1
first 1
for 2
friends 1
friendship 1
friendsnbsp 1
frontrunner 1
full 1
girl 1
has 1
he 1
head 1
heartthrob 1
hilarious 1
his 5
iim 1
iit 3
in 1
inevitable 1
institute 1
interaction 1
interesting 1
is 6
jiya 2
job 1
largely 1
life 1
live 1
lives 1
many 1
members 1
moments 1
mukherjees 1
novel 1
nri 1
of 5
on 3
other 2
out 1
outlook 1
parents 1
picked 1
plans 1
poignant 1
politics 1
popular 1
pranav 1
pranavnbsp 1
pratap 1
quirky 1
rich 1
righteous 1
samar 3
skimpy 2
some 1
son 1
sports 1
stay 1
story 1
student 1
the 9
their 3
things 1
threaten 1
time 1
to 3
together 1
top 1
tosses 1
up 2
upbeat 1
while 1
with 2
woo 1
