15107673
/m/03hhnrf
/m/03hhnrf
Polly Horvath
2001-04-04
a 11
accidentally 1
accidents 2
againlater 1
aging 1
all 2
an 2
and 3
are 2
around 1
as 1
attend 1
back 1
becomes 1
being 1
believe 1
bowzer 1
but 2
called 1
canadian 1
cited 1
class 1
come 1
constant 1
cook 1
couple 1
criticize 1
curiosity 1
custody 2
dead 1
defends 1
disappear 1
doesnt 2
each 1
elevenyearold 1
emotional 1
enjoyment 1
even 2
everyone 1
everything 1
family 2
finding 1
fire 1
fishing 1
from 2
girl 2
gives 1
guinea 1
her 12
hope 1
how 1
in 6
including 1
involved 1
is 5
item 1
jack 2
kate 1
likes 1
losing 1
memorial 1
menu 1
miss 1
moves 1
named 1
neighbor 1
neighbors 1
never 1
normal 1
notepad 1
odd 1
oddities 1
of 5
older 1
on 5
only 1
or 1
owner 1
parents 3
perfidy 1
pig 1
predicaments 1
preoccupied 1
primrose 7
question 1
questioning 1
real 1
recipes 1
red 1
refuses 1
remains 1
restaurant 2
served 1
service 1
set 1
setting 1
she 5
shock 1
situation 1
small 1
squarp 1
state 1
story 1
such 1
survivalher 1
swing 1
taken 1
takes 1
teaches 1
tells 1
that 1
the 6
their 1
them 1
they 1
thing 1
this 1
through 3
to 5
toe 1
town 2
typhoon 1
uncle 3
under 1
up 1
variety 1
village 1
waffle 2
where 1
which 1
while 2
wing 1
with 1
