20730428
/m/054640m
/m/054640m
Julia Phillips
1991-03-06
100000 1
140s 1
160s 1
170s 1
18 1
70s 1
a 4
abusive 1
addict 1
agency 1
alisters 1
also 2
and 8
are 1
artists 1
as 1
back 1
banality 1
before 1
begins 1
biggest 1
blues 1
book 1
boys 1
briefly 1
brooklyn 1
but 1
by 1
california 1
candidly 1
caused 1
childhood 1
claimed 1
club 1
covers 1
creative 1
daughter 1
david 1
day 1
debut 1
decline 1
discussed 1
disparagingly 1
dreyfuss 1
drug 1
early 1
earned 1
echelons 1
emergence 1
episodes 1
expos 1
eyes 1
feature 1
figures 1
film 1
first 1
for 1
freebasing 1
from 2
funeral 1
gallery 1
geffen 1
gender 1
goldie 1
had 1
hawn 1
headed 1
her 10
higher 1
hollywood 3
in 9
including 2
increasing 1
industry 1
introducing 1
is 1
it 2
kate 1
later 1
led 1
life 2
malibu 1
many 1
martin 1
michael 1
mike 1
miss 1
most 1
mother 1
moved 1
movies 1
nerds 1
new 1
of 9
ostracism 1
ovitz 1
own 2
peccadillos 1
people 1
personal 1
phillips 3
pivotal 1
point 1
qualitative 1
quickly 1
reader 1
refers 1
relationship 1
responsible 1
reveals 1
richard 1
rogues 1
scorsese 1
she 3
significant 1
since 1
spielberg 1
standards 1
steelyard 1
steven 1
successes 1
that 1
the 13
their 1
them 1
then 1
these 1
to 6
travelling 1
ultimate 1
vices 1
view 1
violent 1
was 1
were 2
where 1
which 1
who 1
with 1
