6530966
/m/0g93tx
/m/0g93tx
David Weber
1996-03
100 1
2 1
20 1
22 1
255 1
80 1
a 32
aboard 1
about 1
academy 1
access 1
accomplished 3
accomplishment 1
accuracy 1
achuultani 3
across 1
actual 1
actually 1
advanced 1
advancement 1
advances 1
advantages 2
after 3
against 1
agents 1
ages 1
aggressors 1
ahead 1
aid 1
airlift 1
alive 1
all 8
allowed 1
allowing 1
along 1
also 2
amanda 1
amazingly 1
an 6
and 64
angel 1
angels 4
another 1
antichrist 1
anu 2
anxiously 1
any 1
anyone 1
anything 1
approximately 1
are 12
aris 1
arise 1
armageddon 1
armies 2
army 7
around 1
arrive 1
artillery 1
artisans 1
as 9
assassinating 1
assimilating 1
associating 1
at 4
attack 2
attacks 1
attempt 1
attracts 1
authorities 1
away 1
back 2
backlash 1
ball 1
balls 1
band 1
banishments 1
barely 1
barrel 1
battle 2
battleship 1
bayonet 1
be 5
beautiful 1
became 1
because 2
become 1
becomes 1
been 3
before 1
began 1
begins 2
behind 1
being 2
between 1
bia 1
bioweapon 3
blame 1
boldness 1
bomb 1
brashan 5
brashieel 2
breaking 1
bring 3
broadcasting 1
building 1
burn 2
busy 1
but 7
by 12
bypass 1
cake 1
call 1
called 1
can 1
canister 1
capable 1
captured 1
cartography 1
castaways 1
catholic 1
cause 1
centered 1
certain 1
chafed 1
charged 1
chief 1
children 2
chokepoint 1
church 5
circles 1
civil 1
clarke 1
clear 1
clonechild 1
cloning 1
closest 1
codes 1
colin 2
colonized 1
comlink 1
command 2
commander 1
commenced 1
communication 1
complex 1
computer 4
computers 1
conceives 1
concentrated 1
conflicting 1
considerably 1
considers 1
constructed 2
contingent 1
continued 1
control 1
controlling 1
conventional 1
converting 1
convinced 1
core 1
cost 1
could 3
council 1
counterstroke 1
country 1
cover 1
creating 1
crew 1
crown 1
cruise 1
crush 1
dahak 2
damned 2
dark 1
dastardly 1
daughter 1
dead 2
death 1
decide 2
dedicated 1
defeated 1
defeating 1
defeats 1
defense 1
defenses 3
defusing 1
deliberately 1
demons 2
demonstrated 1
depart 1
departs 1
despite 1
destroyed 1
destroying 2
devastatingly 1
devise 1
discuss 2
do 1
docks 1
doomed 1
down 5
earth 2
easy 1
effective 1
effectively 1
elaborate 1
emperor 3
empire 7
empress 1
enclave 3
ending 1
enemy 1
engage 1
engineer 1
enlisted 1
enough 3
enraged 1
equal 1
equipped 1
erasing 1
erastor 1
especially 1
even 3
everyone 1
exist 1
expedition 1
extremely 1
fact 1
faction 1
factions 1
fair 1
family 2
far 1
father 1
female 1
fervently 1
few 1
fierce 1
fighting 3
first 2
five 2
flank 1
fledging 1
fleet 2
flies 1
foiling 1
followup 1
fooled 1
foolish 1
for 6
force 1
forces 3
former 1
fortifications 2
fortified 1
four 2
fourth 2
friends 2
frightened 1
from 6
front 1
ftlcapable 1
gain 1
gaining 1
gets 1
gift 1
global 1
god 1
good 1
governor 2
graduation 1
gravitonic 1
gravity 1
greater 1
guard 5
guilt 1
guns 2
had 13
harriet 3
harry 2
has 4
have 5
he 4
head 1
hear 1
heard 1
heavy 2
hector 1
heir 1
hell 1
her 3
heretics 1
hightech 2
him 3
his 8
history 1
horrified 1
horror 1
horus 2
hostage 1
how 1
however 2
human 1
humans 1
hunkered 1
hypercom 2
hypercoms 1
icing 1
ideal 1
immune 1
impassable 1
imperial 8
impotent 1
in 16
