1444797
/m/0523r_
/m/0523r_
Frederick Marryat

1th 1
a 8
added 1
adolescent 1
adulthood 1
adventures 1
alongside 1
also 1
amidst 1
among 2
an 3
and 12
as 3
at 2
backdrop 1
being 1
bestseller 1
bonus 1
british 1
by 1
captain 1
career 1
century 1
character 1
components 1
concerns 1
courage 1
cowardice 1
detailed 1
during 1
early 1
education 1
effectively 1
encounters 1
experienced 1
family 1
firsthand 1
fool 1
forms 1
from 2
generally 1
gentleman 1
hardships 1
he 1
heir 1
hero 1
his 3
in 2
includes 1
influential 1
informed 1
insight 1
into 2
introduced 1
invaluable 1
is 5
journey 1
key 1
lord 1
main 1
mainly 2
man 1
mastery 1
meets 1
modern 1
munchausen 1
narrative 1
naval 1
noted 1
novel 1
of 16
officer 2
older 1
one 1
others 2
paints 1
parson 1
people 1
period 3
peter 2
picture 1
plot 1
post 1
presumptive 1
privilege 1
privileges 1
proves 1
reader 1
relationship 1
run 1
sea 3
seas 1
series 1
several 1
shape 1
shipmates 1
simple 1
son 1
steals 1
sub 1
suck 1
suffers 1
syndrome 1
takes 1
tale 1
that 4
the 20
therefore 1
this 1
time 1
title 1
to 2
under 1
various 1
very 1
war 1
well 1
which 1
who 2
whole 1
wing 1
with 2
world 1
written 1
young 3
