9760090
/m/02prbtw
/m/02prbtw
Daphne du Maurier

{"/m/014dfn": "Speculative fiction"}
14th 3
a 9
about 1
accident 1
act 2
addicted 1
addiction 2
after 1
agrees 1
all 1
also 1
ambiguous 1
analysed 1
and 13
any 2
are 2
around 1
as 4
at 1
attack 1
attacking 1
attempt 1
attempting 1
attempts 1
back 1
be 1
becomes 1
been 1
before 1
behaviour 1
biophysicist 1
bizarre 2
book 2
both 1
brings 1
but 5
by 2
carminowe 1
case 1
century 3
certainly 1
champernoune 1
children 1
clear 1
closes 1
collapsing 1
comes 1
compelled 1
confessing 1
confused 1
contacts 1
cornwall 2
corresponds 1
crashing 1
culminates 1
danger 1
dangerous 1
dangers 1
daphne 1
day 1
dead 2
desire 1
developed 1
dick 17
did 1
died 1
dies 2
difficult 1
do 1
doctor 2
does 3
dont 2
doppelgangerreceptor 1
dose 1
drawn 1
dropped 1
drug 7
du 1
during 1
each 2
early 1
ease 1
enables 1
end 1
ending 1
ends 1
enduring 1
ensured 1
entails 1
enter 1
escape 1
exhaustion 1
experience 2
explains 1
extremely 1
fact 1
fate 1
father 1
finds 2
first 1
follow 1
following 1
for 4
friend 2
from 2
going 1
grip 1
guineapig 1
has 5
he 15
helps 1
henry 1
her 2
hero 1
hide 1
hides 1
him 6
his 12
house 2
however 1
i 2
in 10
incentive 1
increasing 1
influence 1
inquest 1
intends 1
interact 1
into 3
is 11
isolda 6
it 7
its 1
joanna 1
join 2
key 1
killed 1
kilmarth 1
know 1
knows 1
lady 2
landscape 3
lane 1
last 3
left 1
life 1
like 1
little 1
lives 1
local 1
lord 1
love 4
made 1
magnus 4
makes 2
manor 1
maurier 1
mean 1
means 1
modern 1
moment 1
more 1
named 1
narrator 1
nature 1
nauseous 1
no 1
not 2
of 11
offered 1
on 2
onto 1
or 3
other 2
paralysed 2
particularly 1
passage 1
past 1
people 1
phone 1
pick 1
plausible 1
pleasantly 1
power 1
present 1
railway 1
rather 2
real 1
reality 1
really 1
remaining 1
return 1
returns 1
reveals 1
roger 8
said 1
second 1
seems 1
sees 1
share 1
she 1
simply 1
since 1
sir 1
so 2
sonswhich 1
soon 2
state 1
stepsons 1
steward 1
story 1
strand 1
straying 1
succumb 1
such 1
suddenly 1
suicidestruck 1
takes 1
taking 1
telephone 1
than 1
that 9
the 43
there 3
think 1
this 2
through 1
throughout 1
time 3
to 28
track 1
train 1
trip 1
truly 1
truth 1
unable 2
unaware 1
under 1
until 1
up 1
use 1
visit 2
vita 2
wakes 1
walks 1
want 1
was 3
wean 1
what 3
when 1
whilst 1
who 1
wife 2
with 3
within 1
woman 1
world 1
worried 1
worse 1
you 1
young 1
