18776505
/m/04gllgl
/m/04gllgl
Jeanne Kalogridis
2007-08
a 3
acting 1
admiral 1
after 3
again 1
all 1
alpha 2
an 2
and 8
annihilationstyle 1
approve 1
are 3
as 2
assigned 1
at 1
attack 1
begins 1
behind 1
being 2
believes 1
beverly 1
borg 2
building 1
capt 1
captain 1
collective 1
commander 1
commission 1
counselor 3
crew 2
crusher 1
data 1
death 1
decimated 1
departure 1
devastation 1
does 1
dr 1
enterprise 1
enterprisee 1
explorer 1
federation 1
feels 1
first 2
for 2
forward 1
granted 1
hearing 1
him 1
his 4
however 1
in 1
inhabitants 1
is 3
janeway 1
knows 1
last 1
longer 1
looking 1
mission 1
must 1
new 3
newly 1
no 1
not 1
of 6
officer 2
on 1
once 1
permanent 1
picard 5
promoted 1
promotion 1
putting 1
quadrant 2
quickly 1
rebuild 1
refuses 1
regrouping 1
relationship 1
reporting 1
restored 1
returning 1
riker 1
selects 1
senses 1
shakedown 1
shaping 1
she 1
simple 1
starfleet 1
the 12
they 1
this 1
threat 1
tlana 1
to 3
troi 1
uss 1
voice 1
vulcan 1
war 1
william 1
with 1
worf 3
wrong 1
