1484692
/m/0553nt
/m/0553nt
Dr. Seuss
1984
a 17
actions 1
against 1
all 2
an 2
and 15
answer 1
ants 1
any 1
approach 1
are 1
arms 1
as 2
assured 1
at 2
back 2
battle 1
be 1
bees 1
begins 1
below 1
berlin 1
better 1
between 2
bigboy 1
bigger 1
bitsy 1
blitz 1
blue 3
bomb 1
bombs 1
book 4
boom 1
boomeroo 1
border 1
both 1
bread 2
but 4
butter 1
butterside 2
by 5
cabin 1
called 4
catch 1
chemical 1
cherry 1
children 1
chowder 1
clam 1
close 1
clothes 1
come 1
commonlyaccepted 1
competing 1
complete 1
conflict 2
could 1
counterattack 3
country 1
create 1
creation 1
cultures 2
curving 1
daniel 1
dared 1
defense 1
demonstrates 1
departs 1
destruction 1
destructive 1
develop 1
development 1
devise 1
discover 1
dispute 1
do 1
dog 1
down 1
dr 1
driedfried 1
drop 1
dumb 1
each 2
eat 2
eggs 1
eightnozzled 1
elephanttoted 1
em 1
end 3
escalating 1
eventually 1
extremely 1
fairly 1
fast 1
faucets 1
fired 1
first 2
flasks 1
fling 1
floating 1
for 1
four 1
frightening 1
fritz 1
from 2
generals 1
ghosts 1
give 1
goo 2
got 1
guarded 1
gun 1
guntoting 1
hanging 1
has 1
helicopter 1
her 1
highexplosive 1
his 1
hostile 1
identical 1
if 1
imitate 1
in 2
interlinked 1
is 3
it 2
itch 2
jigger 2
jiggerrock 1
just 1
kickapoo 2
kid 2
land 1
large 1
leads 1
left 1
legs 2
like 1
live 1
living 1
loaded 1
long 1
lorax 1
machine 4
mad 1
main 2
make 1
mecha 1
mechanical 1
much 1
mutual 1
mysterious 1
named 2
neither 1
nets 1
no 2
of 11
off 1
oldfashioned 1
on 4
once 1
opposite 1
or 1
orange 1
other 1
outdo 1
over 1
own 1
patrol 1
pits 1
plot 1
poised 1
pooadoo 1
positive 1
possesses 1
powder 1
powerful 1
prickly 1
purpose 1
put 1
question 2
race 2
ran 1
reached 1
reader 1
red 1
resembles 1
resolution 2
results 1
rings 1
rocks 1
rotors 1
scared 1
scientiststyle 1
see 2
seuss 1
shoots 1
side 2
sides 3
similar 1
slingshots 3
small 1
smallest 1
snakes 1
snatchem 1
snickberry 1
somewhat 1
song 1
sour 1
spaniel 1
special 1
sprinkle 1
sputter 2
stone 1
story 2
switch 1
tall 1
tells 1
that 4
the 56
their 4
themes 1
then 3
they 1
this 1
threat 1
three 2
thus 1
to 14
toted 1
toughtufted 1
triplesling 2
tv 1
twitch 1
two 4
unless 1
up 1
used 1
utterly 1
van 2
very 1
volcanoes 1
waiting 1
wall 4
was 2
we 1
weapon 2
weapons 1
wear 2
when 1
where 1
which 5
while 1
who 1
whose 1
will 2
with 12
works 1
writing 1
yooks 9
your 1
zook 1
zooks 8
zookwatching 1
