5779847
/m/0f451p
/m/0f451p
Dave Wolverton
2003-11
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 3
able 1
after 1
ahten 4
aid 2
all 2
also 1
an 1
and 27
anders 2
another 1
anticipation 1
are 3
armies 1
arrives 1
arrow 1
as 4
at 3
attack 2
attacked 2
attempts 2
averan 6
battle 2
battlefield 1
battles 1
be 2
before 3
begins 1
behind 2
beldinook 1
belief 1
beyond 1
bind 1
binnesman 3
births 1
body 1
bones 1
borenson 2
brought 1
but 1
by 7
can 1
captured 2
carris 6
celinor 2
chance 1
chaotic 1
charged 1
child 1
choice 1
city 1
claims 1
combines 1
comes 1
companions 1
comparison 1
confront 1
countless 1
creating 1
crowden 1
danger 1
daylan 1
days 1
dead 1
dedicate 2
dedicates 1
defeat 1
descend 1
descends 1
desolation 3
destroy 1
destroying 1
destruction 1
dozens 1
drowning 1
during 1
earth 11
earthquakes 1
endowments 1
ensorcelled 1
erden 1
erin 1
escape 1
eventually 1
falling 1
fallion 1
father 1
fellow 1
finally 1
find 1
fire 1
flee 1
follow 2
for 1
forced 2
forces 2
forth 1
fortified 1
four 1
fresh 1
from 1
furthest 1
gaborn 11
geboren 1
glories 1
grow 1
guidance 1
hack 1
hammer 1
has 1
he 6
heal 1
heart 1
heavenly 1
heavens 2
help 1
her 1
herald 1
him 5
his 6
home 1
horde 1
host 1
in 10
inferno 1
inkarra 2
instead 1
into 3
iome 6
is 5
it 1
its 1
kaul 1
kill 1
killing 1
king 6
lair 1
land 2
last 2
leave 2
life 1
longer 1
look 1
loss 1
lowicker 1
making 1
man 1
mankind 1
many 1
march 1
massed 1
master 6
meanwhile 2
meet 1
men 1
more 1
myrrima 3
mystarria 1
mysterious 1
named 2
near 1
new 1
no 2
north 1
of 21
off 1
on 3
once 1
one 7
only 1
order 1
other 1
over 2
own 1
peace 1
perfect 1
pieces 1
power 1
powers 1
press 2
previous 1
queen 2
race 1
raging 1
raj 4
reaver 2
reavers 8
recover 1
rejects 1
remaining 1
reunites 1
right 1
river 1
ruler 1
rune 4
runelords 1
runes 2
sarka 1
save 1
search 1
seeing 1
seek 1
seeks 1
service 1
shifting 1
shot 1
slaying 2
small 1
son 1
south 2
spirit 1
stars 1
struck 1
subsequently 1
takes 1
taking 1
the 54
their 1
they 4
this 2
through 1
throw 1
time 1
to 21
towards 1
trail 1
transports 1
travels 1
true 6
underworld 3
unmake 1
vectored 1
vectors 1
venture 1
very 1
victory 1
when 2
where 1
while 1
who 2
with 10
within 1
without 1
world 1
wylde 2
zandaros 1
