9559344
/m/02pjzmz
/m/02pjzmz
Janet Evanovich
2007-06-19
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
40 1
a 4
again 1
also 1
and 1
apartment 1
apparent 1
appear 1
at 1
back 1
be 1
becomes 1
believes 1
bombs 1
business 1
cable 1
characters 1
circumstances 1
company 1
dickie 4
discovered 1
does 1
doing 1
dollars 1
drug 1
everything 1
exhusband 1
favour 1
firm 2
for 3
from 4
graverobber 1
her 2
his 4
holds 1
home 1
in 4
innocence 1
interesting 1
involved 1
is 3
key 1
later 1
laundering 1
law 2
lawyer 1
living 1
meets 1
million 1
missing 2
money 1
murder 1
of 1
orr 1
partner 1
partners 1
penchant 1
plum 1
prime 1
prove 1
ranger 2
rather 1
reunited 1
running 1
she 1
some 2
stephanie 4
suspect 1
taxes 1
taxidermist 1
that 1
the 7
ties 1
to 6
truck 1
trying 1
uncover 1
under 1
violent 1
waiting 1
when 1
while 2
who 3
with 2
yet 1
