44005
/m/0c047
/m/0c047
Michael Ondaatje
1992-09
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
13 1
130s 1
138 1
a 26
abandoned 1
about 3
accompanied 1
addicted 1
affair 3
africa 1
after 1
again 1
aircraft 1
all 3
allowed 1
almsy 10
aloud 1
already 1
also 2
always 1
an 5
and 24
annotated 1
another 1
army 3
around 2
as 6
at 1
atomic 1
backdrop 1
base 1
be 2
bears 1
became 2
because 2
become 1
becomes 3
bedouin 1
bedouins 1
been 2
before 1
began 2
begins 2
behind 1
being 1
best 1
betrayed 1
beyond 1
body 1
bomb 5
bombs 3
boobytrapped 1
britain 1
british 5
broke 1
brother 1
burned 2
but 5
by 5
bylord 1
cairo 1
camp 1
campfire 1
canadian 2
cannot 1
captured 1
caravaggio 5
care 1
cartography 1
caught 1
cave 1
chose 1
claimed 1
claiming 1
clifton 4
cliftons 1
close 1
collect 1
combat 1
comes 1
comfortable 1
community 1
constantly 1
convinced 1
copy 1
could 1
covered 2
crash 1
crashes 1
cross 1
cut 2
dangers 1
day 1
days 1
de 1
decided 2
defusing 1
deliberately 1
depressed 1
desert 6
detail 1
details 2
died 2
discovered 2
disposal 1
distrusted 1
divulges 1
down 2
draw 1
dropped 2
easier 1
effort 1
emotionally 1
engineer 1
england 1
english 7
enter 1
entered 2
erase 1
escaped 1
eventually 2
everyone 2
explains 1
exploration 3
explorations 1
explorer 1
explosion 1
fact 2
family 1
father 1
feel 1
feels 1
fell 1
fighting 1
filled 1
fills 1
finally 1
find 1
fire 1
flames 2
flying 1
for 2
forces 1
foreign 2
forms 1
found 1
friend 2
friends 1
from 4
gentleman 2
geoffrey 6
german 1
germans 4
girolamo 1
go 1
great 1
group 1
had 8
hana 8
has 3
have 2
having 1
he 24
hears 1
help 1
helping 1
her 3
herodotus 2
hidden 1
him 4
himself 2
his 13
historical 1
histories 3
horribly 1
hospital 2
however 3
humanity 1
hungarian 1
identity 1
if 2
ii 1
immediately 2
in 23
including 1
incoherent 1
indian 1
injured 1
instruments 1
intelligence 3
intense 1
interrogated 1
into 3
is 12
it 4
italy 3
its 1
japan 1
job 3
katharine 7
katherine 1
kill 1
killed 2
kip 12
knew 1
known 1
knows 1
late 2
later 1
leave 2
leaves 1
left 1
like 1
lives 1
locked 1
lord 2
love 1
lover 1
lszl 1
mad 1
made 1
maps 1
members 1
morphine 1
musical 1
name 1
nation 1
nationality 1
night 1
northern 1
not 2
novel 1
nurse 1
observed 1
of 16
off 2
offered 1
often 1
on 3
one 3
only 1
or 1
ordnance 1
out 1
over 2
overheard 1
own 1
pack 1
parachute 1
parachuted 1
part 2
past 1
patient 9
physical 1
piano 1
pick 1
place 1
plane 4
playing 1
possession 1
previously 1
prompted 1
psychological 1
reached 1
read 1
recognition 1
reconnect 1
relationship 1
remembering 1
removed 1
returns 1
reveal 1
revealing 1
rid 1
romantic 1
san 1
sapper 2
save 1
scars 1
search 1
second 1
seeking 1
separated 1
separates 1
sergeant 1
served 1
service 1
she 3
shot 1
side 1
sikh 1
since 1
skill 1
skilled 1
so 2
soldiers 2
soon 1
specializing 1
spy 4
spying 1
state 1
states 1
stay 1
story 1
suffolk 3
supplies 1
surname 1
survived 2
suspicions 1
suspicious 1
swimmers 1
taken 1
takes 1
taking 1
team 4
tell 1
that 11
the 48
their 1
them 2
then 2
there 1
these 1
they 3
thief 1
this 2
three 3
thumbs 1
time 1
to 23
too 1
took 1
tortured 1
town 1
trained 2
training 1
tribe 1
turns 1
two 1
under 1
undetonated 1
united 1
up 3
uses 1
vengeance 1
very 2
villa 4
war 3
was 16
welcomed 1
were 3
west 1
when 3
where 1
which 3
while 3
white 1
who 7
wife 1
will 1
willingly 1
wireless 1
with 8
working 1
world 4
would 2
years 1
young 1
