4214046
/m/0bq9qs
/m/0bq9qs
Raymond Chandler
1942
a 27
about 1
act 1
acts 1
address 1
admits 1
after 2
again 2
agrees 1
alex 3
all 1
allowed 1
already 1
also 2
although 2
amateurish 1
an 2
and 34
angeles 1
anson 1
apartment 2
appointment 1
around 1
arrest 1
arrive 1
as 3
assignment 1
at 5
away 2
back 5
be 1
because 1
become 1
been 1
begins 1
believe 1
bills 1
blackmailing 1
blamed 1
blond 2
body 1
brasher 2
breakdown 1
bright 3
brother 1
business 1
but 8
buy 1
by 2
call 2
called 1
calls 2
case 2
changed 1
chemicals 1
claims 1
coin 10
coldly 1
confessed 1
confirms 2
confronts 1
conquest 3
contains 1
counterfeiting 1
country 1
coupe 2
cover 1
covering 1
cross 1
dark 1
day 1
dead 4
dealer 5
death 2
debts 1
decides 1
demands 1
dental 1
dentist 1
detached 1
detective 4
died 1
dimwitted 1
dirt 1
disappear 1
discover 1
discovers 2
disgust 1
doesnt 3
door 1
doubloon 2
drives 2
driving 1
drunk 2
drunks 1
duplicate 1
either 1
elizabeth 1
employment 1
enlisting 1
environment 1
estranged 1
ever 2
exchange 1
fakes 1
fall 1
falling 2
family 3
father 1
feeling 2
figured 1
find 1
finds 4
fingerprints 1
first 1
floored 1
followed 1
for 7
force 2
former 1
friends 1
from 4
fugitive 1
funny 1
george 1
get 1
gets 1
give 1
giving 1
good 1
got 3
gun 2
had 6
has 3
have 1
having 2
he 23
help 1
henchman 1
her 15
hides 1
him 12
himself 1
hire 2
hired 2
his 20
hocked 1
hold 1
home 5
horace 2
house 2
husband 2
i 4
if 1
in 8
innocent 1
insists 1
instead 1
into 1
investigator 1
invites 1
involved 1
involving 1
iowa 1
is 22
it 13
keeps 1
killed 2
knew 1
know 1
knows 3
landlord 2
large 1
last 1
later 1
leader 1
league 1
learn 1
learned 1
learns 1
leave 1
leaves 2
leaving 2
legal 1
leslie 6
leslies 1
lets 1
linda 4
local 1
lois 2
los 1
lost 2
made 1
magic 4
mailed 1
makes 1
man 2
mans 1
marlowe 33
marlowes 2
meet 1
merle 6
mind 1
missing 1
money 1
morningstar 1
morny 10
mornys 1
mother 1
mr 2
mrs 10
murder 2
murders 1
murdock 11
murdocks 3
mutual 1
near 1
nearby 1
nervous 1
never 1
next 2
nightclub 2
no 1
not 3
novel 1
now 1
of 16
offers 1
office 2
on 8
once 1
or 1
out 7
overhears 1
owes 1
owner 1
package 1
parents 2
paying 1
philip 1
phillips 5
photo 1
plain 1
plans 1
plot 2
poem 1
police 5
porch 1
prints 1
private 3
probably 1
pushed 2
puts 1
quarry 1
rap 2
rare 2
reality 1
realizes 1
receipt 1
receives 1
recover 1
regrets 1
remember 1
remove 1
returned 1
returning 1
returns 1
reveal 1
reveals 2
role 1
ruin 1
rule 1
rushes 1
saw 1
say 1
says 4
scared 1
scheme 1
secret 1
secretary 1
sell 2
she 5
shot 1
sick 1
singer 1
singing 1
slip 1
snooping 1
so 1
someone 1
son 1
sons 1
speaks 1
stealing 1
still 1
story 2
stress 1
suicide 1
sum 1
suspect 1
suspects 1
suspicious 1
suspiciously 1
tailed 1
take 1
taking 1
talks 1
technology 1
tells 2
that 8
the 49
theft 1
their 1
then 4
there 1
they 2
thinking 1
though 1
threatened 1
timid 1
to 36
told 1
toxic 1
tracks 1
tricks 1
tried 2
tries 1
true 1
trying 1
turn 1
turns 1
two 1
ultimatum 1
unfazed 1
using 1
valuable 1
vannier 8
vanniers 3
very 1
visit 1
visited 1
visits 5
want 1
was 5
watches 1
water 1
way 1
wealthy 1
what 2
when 2
while 1
who 7
why 2
widow 1
wife 3
will 1
window 4
with 4
would 1
written 1
