29485442
/m/0g5rs65
/m/0g5rs65
Edgar Brau
2003-08
{"/m/0l67h": "Novella"}
a 16
abroad 1
accents 1
account 1
across 1
actor 1
affair 1
affect 1
after 1
again 1
agents 1
agrees 1
all 1
almost 1
although 1
amricain 1
an 5
and 15
appearance 2
are 4
around 1
arrives 1
as 4
at 3
back 1
bankrupt 1
before 1
begins 1
bergman 1
best 1
big 1
black 1
blackandwhite 1
blind 1
blinded 1
blow 1
bogart 1
brief 1
build 1
but 6
by 5
caf 5
can 1
car 3
casablanca 3
casino 1
cast 1
caught 1
characters 1
closed 1
coins 1
come 1
comes 1
commits 1
corners 1
country 1
coup 1
dark 1
darker 1
decide 1
decides 1
del 1
desert 1
deteriorates 1
disease 1
do 1
door 2
down 1
dozing 1
dream 2
dressed 1
driving 1
dwellers 1
early 1
employees 1
ends 1
english 1
enormous 1
entrance 1
epidemic 1
everything 1
exit 1
famous 1
fantastic 1
far 1
feeling 2
ferrari 8
few 3
fifties 1
film 1
flood 1
follow 1
following 1
for 7
from 1
gambling 1
get 1
gets 2
give 1
given 1
glasses 1
go 1
goes 3
goodbye 1
greenstreet 1
grey 1
had 2
happen 1
happened 1
hard 1
has 3
have 1
he 10
health 1
himself 1
his 4
hollywood 1
hoofandmouth 1
humphrey 1
hurries 1
identical 2
ilsa 4
imitate 1
in 15
ingrid 1
inside 1
interpreted 1
into 2
introduce 1
is 16
isolated 1
it 7
its 2
jacket 1
just 1
keeps 1
lands 1
leave 1
leaves 1
license 1
lighter 1
like 2
lived 1
living 1
look 1
looking 1
looks 1
lover 1
made 1
magnificence 1
main 1
make 2
makes 1
man 3
manages 1
mar 1
meanwhile 1
meet 1
military 1
moment 2
money 1
months 3
movie 6
much 2
must 1
name 1
narrator 4
near 1
never 2
not 1
nothing 1
now 3
of 19
offer 1
old 1
older 2
on 1
once 1
one 2
ones 1
only 2
opened 1
or 2
original 1
out 2
over 1
overthrows 1
owner 2
passes 1
past 1
people 4
perform 1
pern 3
physical 1
piano 1
place 7
placed 1
plata 1
play 1
player 1
playing 1
plays 1
poker 1
president 2
pretended 1
property 2
provided 1
purpose 1
put 1
rain 1
ranch 1
ready 1
real 1
reality 1
rehearse 1
remain 2
renault 1
replica 1
reproduce 1
resort 1
rich 1
rick 5
role 1
room 1
roulette 1
sale 1
sam 4
same 1
say 1
says 1
scenes 3
seaside 1
sends 1
seor 5
sequel 1
shades 1
shelter 1
shown 2
shut 1
sidney 1
similar 2
some 5
somebody 1
song 1
sound 1
speaks 1
splendor 1
spoken 1
started 1
starts 2
states 1
storm 2
story 2
subsided 1
success 1
suicide 1
suit 1
survive 1
table 1
tables 1
tell 1
that 8
the 60
their 2
them 1
then 2
there 1
they 6
this 1
those 1
time 3
to 24
tourists 1
true 1
try 1
turning 1
ugarte 1
unexpected 1
up 3
vase 1
version 1
very 1
visit 1
visited 1
visitors 1
voices 1
wearing 1
weeks 1
well 1
were 1
what 1
wheel 1
when 5
which 1
while 2
who 10
whose 1
will 2
with 4
witnessed 1
worn 1
years 1
