14767906
/m/03gx9zx
/m/03gx9zx
Paul Brickhill
1950
5000000 1
a 5
about 1
according 1
after 1
aftermath 2
agency 1
agents 1
air 1
al 1
all 1
also 1
among 1
and 8
are 3
as 5
attempts 2
became 1
big 1
book 3
boss 1
brickhill 3
british 1
bushell 1
but 1
by 4
called 1
capture 1
carefully 1
ceasefire 1
cells 1
chained 1
chief 1
churchill 1
code 1
compass 1
covers 1
crawled 1
dawson 1
dean 1
dedicated 1
des 1
described 1
direct 1
dodge 2
early 1
end 1
escape 5
escaped 1
escapees 2
execution 1
exploits 1
factory 1
ferrets 1
fifty 3
floor 1
focused 1
for 5
force 1
forger 1
forgers 1
four 1
full 1
gang 1
gave 1
german 1
germans 1
gestapo 2
goons 1
great 1
guarding 1
guards 1
guest 1
hake 1
his 2
hitler 1
horse 1
hunt 1
huts 1
in 2
included 1
including 1
ingenious 1
is 2
john 2
known 2
later 1
leader 1
looking 2
made 1
major 3
maker 1
many 1
map 1
maps 1
men 1
mentioned 1
mimeograph 1
much 1
murdered 1
name 1
of 20
officers 1
on 2
one 3
order 1
other 1
out 1
participants 1
paul 1
planning 2
plunkett 1
postwar 1
pow 1
principal 1
prisoners 2
ran 1
recaptured 2
related 1
released 1
remaining 1
reproducing 1
roger 1
royal 1
sachsenhausen 1
secure 1
seventysix 1
seventythree 1
shot 1
signs 1
spent 1
squadron 1
stooges 1
such 1
tailors 1
team 1
teams 2
the 28
their 2
them 2
these 1
they 1
those 1
tim 1
time 2
to 5
tommy 1
tooges 1
tracer 1
travel 1
tunnelled 1
tunnels 1
twentythree 1
under 1
walenn 1
was 4
watched 1
weeks 1
well 1
were 4
what 1
who 6
whom 1
winston 1
wooden 1
x 1
