13687105
/m/03cf3b6
/m/03cf3b6
Colin Cotterill

a 6
about 1
access 1
add 1
afoot 1
against 2
already 1
and 10
apart 1
are 3
argue 1
arguing 1
assistant 2
at 1
attempt 1
be 1
bear 2
becomes 2
before 2
betrayer 1
beyond 1
bicycle 1
black 1
blood 1
bodies 2
but 2
cage 1
calls 1
camp 1
can 1
capital 1
cases 1
caused 1
charges 1
charred 1
circus 1
connections 1
convinced 1
coroner 1
country 1
crumpled 1
death 1
deaths 1
defense 1
disappears 1
distinguished 1
doctor 1
doesnt 1
dr 2
draining 1
dtui 2
dynasty 1
encounter 1
enlists 1
exorcise 1
family 1
feet 1
few 2
files 1
finally 2
find 1
first 1
for 2
found 1
four 1
fourth 1
from 2
full 1
garden 1
gets 1
ghosts 1
government 1
has 3
he 4
helicopter 1
help 2
her 1
heritage 1
him 1
his 8
historic 1
hotel 1
hours 1
important 1
in 6
intentions 1
investigate 1
is 6
it 2
its 2
just 1
killed 1
killings 1
king 1
kings 1
lan 1
lao 1
laos 1
learns 1
left 1
life 1
luang 1
malay 2
malevolent 1
man 1
mauled 1
meanwhile 1
military 1
misdeeds 1
missing 1
moments 1
moon 1
morgue 2
murdering 1
mysteries 1
new 1
north 1
notice 1
nursing 1
of 12
old 3
on 6
once 1
only 2
or 1
out 1
own 2
party 1
past 1
people 1
peoples 1
person 1
phaiboun 1
phibob 3
plans 1
prabang 1
provided 1
reawakens 1
recognition 1
reeducation 1
republic 1
return 1
revenge 1
rid 1
royal 3
russian 1
searching 1
secret 1
see 1
seeking 1
send 1
sent 1
seventytwo 1
shaman 1
she 2
should 1
siri 6
slab 1
so 1
socialist 1
solve 2
something 1
soon 1
souls 1
spirits 1
spiritual 1
still 1
surprised 1
survive 1
team 1
that 2
the 30
their 2
them 1
there 1
these 1
three 1
to 14
town 1
trainer 1
treachery 1
true 1
turning 1
two 2
unmask 1
unpleasant 1
up 2
vanishes 1
very 2
victims 1
vientiane 1
vientianes 1
warrant 1
what 3
whatever 1
when 1
whilst 1
whisk 1
who 1
with 3
women 1
work 1
xang 1
year 1
zoo 1
