6773264
/m/0gn7cm
/m/0gn7cm
James Patterson
1997
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 51
abel 1
about 2
accidentally 1
accompanied 1
act 1
actually 2
addressing 1
affair 1
afraid 2
after 8
afterwards 1
again 2
agent 4
agents 3
agrees 1
aids 1
air 1
alex 11
alexs 1
alibi 1
all 3
almost 1
along 2
already 1
also 1
an 5
analyzing 1
and 55
animal 1
another 4
anthonys 1
apartment 4
apparently 1
are 4
area 1
arm 1
arrest 2
as 3
asking 1
asks 1
assailant 1
at 14
attack 2
attacker 1
attacking 1
attacks 4
authorities 1
autopsy 4
autry 1
away 1
baby 4
back 3
bar 1
be 4
beaten 1
beating 1
becoming 1
bed 2
bedroom 1
been 12
before 4
begin 1
begins 2
behind 2
being 1
believes 2
bellevue 1
big 1
blocks 1
blood 4
blowing 1
body 5
bomb 3
bones 1
book 3
boston 2
breaking 1
breaks 2
brooklyn 1
brunt 1
brutal 1
burned 1
burning 1
bus 3
but 13
by 9
cabot 1
calais 2
call 1
called 1
calls 2
came 2
cant 1
car 3
cardiac 1
care 1
carrying 1
cars 1
case 5
cat 2
catch 1
caught 2
central 1
challenges 1
charred 1
chase 1
cheating 1
checking 1
checks 1
childhood 1
christine 1
christines 1
circumstantial 1
city 5
commits 1
complete 1
completed 1
concludes 1
conducting 1
confessed 1
confesses 1
confession 1
conklin 11
conklins 2
connection 2
contacting 1
contemplating 1
contracted 1
convinced 2
corner 1
correct 1
crack 1
craig 4
created 1
cross 54
crowd 1
cut 1
daughter 2
day 2
days 2
dc 1
dead 2
decapitated 2
decay 1
deduces 1
delaware 1
detective 2
detectives 1
determine 1
detonating 1
did 2
dies 2
dig 1
disappearance 1
discover 2
disguise 1
doctor 2
doctors 1
does 1
dominant 1
done 1
down 1
downward 1
dr 3
dressed 1
drew 1
driving 1
dubbed 1
due 1
during 1
duty 1
dying 1
e 2
elsewhere 1
email 1
end 1
ensues 1
entire 1
envies 1
escaped 1
escapes 2
even 1
