9839076
/m/02ptkxl
/m/02ptkxl
Linda Nagata
2001
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/07g8l": "Transhumanism"}
a 18
able 2
acids 1
administrators 1
after 1
ahead 1
alone 1
along 1
although 2
amino 1
an 2
and 19
animals 2
anticipated 1
any 1
anyone 1
apparently 1
are 3
areas 1
arrives 1
artificial 1
as 1
ashore 1
asks 1
asterids 1
at 4
atmospheric 1
attempt 1
attempting 1
automated 1
back 2
barely 2
be 1
before 1
begins 1
benefactors 1
biotechnology 1
bit 1
boat 1
both 1
businessman 1
but 3
by 2
care 2
chemical 1
children 1
cleaning 1
clusters 1
colonies 1
colonized 1
colony 1
comes 1
communicate 1
communion 1
company 2
computer 1
contact 1
contain 1
control 1
copeland 1
cordons 1
corpse 1
crackdown 1
crash 1
crashes 1
crown 3
cut 1
declared 1
dependent 1
died 1
discover 1
discovers 1
doing 1
down 1
drones 1
dying 1
earth 1
ela 7
encased 1
enhanced 1
entered 1
equasys 1
equatorial 1
escape 1
eventually 1
exhaustion 1
experiment 1
experimental 1
experiments 1
exported 1
fails 1
fellow 1
few 2
find 1
fishing 1
flee 1
for 2
forced 2
forehead 1
foreheads 1
freelance 1
from 6
fugue 1
gabrielle 4
galls 3
gather 1
get 1
give 1
government 2
group 1
growth 1
gunned 1
had 4
half 1
hammer 2
happened 1
has 3
have 1
he 1
her 10
hires 1
his 1
hoping 1
hosts 1
house 2
housetohouse 1
illegally 1
implanted 1
in 10
incident 2
initial 1
intelligence 1
intelligent 1
interact 1
interrupt 1
into 4
is 9
it 5
journalist 1
key 1
killed 1
known 1
ky 1
lab 3
latest 1
lead 1
learn 1
learns 1
life 1
limits 1
lodged 1
lov 3
lovs 13
low 1
made 2
makes 2
marsh 1
meanwhile 1
message 1
metabolism 1
might 1
military 3
missing 1
module 2
more 1
most 1
mother 1
mud 1
named 2
nearly 1
neurons 1
news 1
nguyen 1
nopaline 3
nuoc 3
obstacles 1
octopine 2
of 19
off 2
offset 1
offshore 1
on 4
one 2
oneman 1
orbit 1
order 1
orders 1
out 1
overcome 1
packet 1
panwar 7
patrols 1
phase 1
plants 1
plight 1
plunges 1
pool 2
presentation 2
program 1
project 1
promise 1
prompted 1
put 1
quarantine 2
quickly 1
quite 1
racing 1
randall 1
receives 1
reentry 1
remove 1
reproduction 1
resourceful 1
review 1
rival 1
roi 3
safe 1
safely 1
save 1
scientist 1
scientists 1
scoop 1
search 1
second 1
security 1
seem 1
senior 1
sentient 1
several 2
severs 1
she 3
shells 1
shelter 1
shore 1
short 1
shortly 2
show 1
showcasing 1
showed 1
silicate 1
site 2
some 1
space 2
staff 1
state 1
station 2
stops 1
story 1
stray 1
stumbles 1
subject 1
submarine 1
supply 2
surreptitiously 1
survived 1
surviving 1
suvanatat 1
swimming 1
systems 1
tablets 1
take 1
takes 1
tells 1
test 2
than 1
that 3
the 38
their 9
then 1
there 1
therefore 1
these 1
they 1
this 1
through 2
tiger 1
to 18
took 1
torn 1
two 2
uncontrolled 1
under 1
unfortunately 2
unrelated 1
up 3
vietnam 1
villages 1
villanti 1
virgil 6
was 1
water 1
way 3
were 4
what 1
when 6
which 4
while 2
who 1
with 5
work 1
worried 1
xuan 1
