1945819
/m/0681rq
/m/0681rq
Jacqueline Carey
2001
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 58
able 1
about 5
absentia 1
accepted 2
accidentally 2
accompanies 1
accompany 1
accosts 1
achieves 1
across 2
act 1
action 1
adept 2
admiral 3
advancing 1
advantage 1
affinity 1
afraid 1
after 8
again 1
against 1
age 3
agrees 2
aim 1
alba 7
alban 1
albandangeline 1
albans 1
alcuin 7
alive 3
all 5
allies 1
allow 3
allowed 1
allowing 2
allows 1
allthing 1
almost 1
alone 1
along 2
also 2
always 2
ambassador 1
an 14
anafiel 2
analogous 1
anathema 1
ancient 1
and 113
anguissette 4
announces 1
answer 2
any 3
apologizes 1
apprentice 1
apprenticeship 1
approaching 1
approve 1
aptitude 1
are 12
arent 1
army 6
arnildsdottir 2
arnlaugson 1
as 32
asks 1
assignation 1
assure 1
assures 1
at 10
attack 1
attacked 1
attempt 1
attempts 2
away 1
back 4
balm 1
bard 1
barquiel 1
battle 11
battlements 3
battles 1
be 14
beardless 1
bearing 2
became 1
because 1
become 2
becomes 7
becoming 1
bedcousins 1
bedslave 2
been 5
before 9
beforehand 1
begin 1
begins 6
behalf 1
being 3
believed 1
believes 3
ben 1
benefit 1
benevolence 1
best 3
bestows 1
betray 1
betrayal 2
betrayed 1
betraying 1
betrothed 1
between 5
black 1
blackhaired 1
blessed 1
boar 1
bodyguard 1
born 2
borrows 1
both 2
bought 1
boys 1
break 1
bring 2
brings 3
brother 2
brotherhood 1
brought 1
but 10
buys 1
by 24
byblow 1
caerdicci 1
call 1
called 1
calling 1
camlach 1
camp 2
camps 1
can 13
canons 1
cantrel 2
capacity 1
captor 1
cassiline 4
casting 1
casts 1
catch 1
causes 1
cave 2
cecile 1
cell 2
cereus 3
chained 1
chains 1
challenge 1
challenges 1
change 1
changes 1
channel 1
charge 1
charges 1
charging 1
charm 1
chevalier 1
childric 1
choosing 1
chosen 1
citizen 2
city 6
clan 1
clear 1
clears 1
cloak 1
coast 1
come 2
comes 6
comfort 2
coming 2
commander 1
commissions 1
companions 2
compassion 1
complete 1
completed 1
comtesse 1
conference 1
continue 1
continues 1
contracts 2
control 1
controls 1
conversation 1
convicted 2
convince 2
council 2
courage 1
courcel 1
course 1
court 5
courtiers 1
cousin 2
create 1
cross 2
crowned 2
cruithne 3
currently 1
curse 1
cursed 1
custody 2
cycle 1
dagger 1
daiglemort 7
dalriada 4
danele 1
dange 12
dangeline 7
dangelines 4
danger 1
daughter 1
daughters 2
dauphine 1
day 2
daybreak 1
days 3
de 8
dead 3
death 3
decides 4
deciding 1
declaring 1
dedicates 1
defeat 2
defeated 1
delaunay 20
delegation 2
delivered 1
demands 2
demonstration 1
dessoms 1
determine 1
diary 1
die 1
dies 2
discord 1
discover 1
discovered 1
discussion 1
disguises 2
dismisses 1
distinguished 1
do 2
does 2
dogs 1
done 1
doors 1
doubting 1
dour 1
dowayne 1
down 2
drag 1
dream 1
dromonde 3
drugs 1
drustan 11
duc 4
due 1
during 4
dying 2
eamonn 3
earning 1
effectively 1
eight 2
eiran 1
eire 2
eisande 1
eisheth 1
elder 1
elua 3
eluine 1
emissary 1
encounter 2
enough 1
ensuing 1
enter 1
entire 1
entirely 2
epic 1
escape 5
escaped 1
estate 1
estates 1
etched 1
even 3
eventually 3
ever 1
every 1
everyone 1
exactly 1
exacts 1
executed 1
existence 1
expressed 1
extended 1
extremely 1
eye 1
eyes 1
face 1
facetoface 1
facts 1
fair 2
fairskinned 1
family 4
far 1
father 1
fear 1
fetch 1
few 6
fields 1
fierce 1
fight 1
fighting 1
figure 1
finally 1
find 5
finds 2
finished 1
fire 1
first 4
fit 1
flag 1
flaw 2
flechettes 1
fleeing 1
fleet 2
flowers 2
followed 1
for 25
force 1
forces 1
forges 1
forsaken 1
fort 1
fortress 2
fortune 1
fortunetelling 1
foster 1
found 1
four 1
fourteen 1
free 2
freeing 1
friend 1
friendship 1
from 19
frozen 1
frustrated 1
gain 2
ganelon 1
garde 1
gaspar 1
gathers 1
get 1
gift 2
gifts 2
give 4
given 3
gives 4
glance 1
go 3
going 2
good 1
gotten 1
grainne 3
grandfather 1
gratitude 1
greater 1
greatest 1
greet 1
grey 1
group 1
grows 2
guard 1
guards 1
guests 1
gunter 4
had 2
halt 1
hand 2
happened 1
harald 1
harm 1
has 9
have 6
having 2
he 26
healer 1
hearthsongs 1
hedwig 2
heir 1
held 2
hellene 1
help 3
helping 3
her 64
here 1
hero 1
herself 4
him 14
himself 4
his 29
holds 1
holed 1
holmgang 1
honor 1
horse 2
horses 1
house 6
household 1
houses 1
however 4
hundred 1
hyacinthe 13
idea 1
identifies 1
identify 1
if 4
ill 1
immediate 1
immediately 4
important 1
imposing 1
impossible 1
in 42
incident 1
including 1
increasingly 1
informs 2
inheriting 1
initially 2
inside 3
instead 3
intention 1
intercepted 2
interrogates 1
interrupted 2
