12009118
/m/02vltb1
/m/02vltb1
Scott Ciencin
2001-10-23
18 1
a 9
about 1
after 1
against 1
agrees 1
alan 3
allows 1
almost 1
and 14
angered 1
are 4
as 1
attack 1
attacked 1
away 1
balance 1
become 3
becoming 1
behavior 1
blackmails 1
both 1
boy 1
braveness 1
brother 1
but 4
by 5
call 1
carnotaurs 2
carnotaurus 1
celebrities 1
celebrity 1
chasing 1
christmas 1
confiscate 1
continues 1
convince 1
coordinating 1
crew 1
decided 1
dinosaur 1
dinosaurs 1
dominated 1
during 1
ecosystem 1
endanger 1
eric 9
escapes 1
even 1
evidence 1
experts 1
fearing 1
film 1
find 1
finds 1
follows 1
footage 2
forced 1
from 1
full 1
getting 1
go 3
going 1
grant 9
group 2
has 3
he 3
headquarters 2
herd 1
him 4
himself 1
his 7
if 1
imitating 1
in 6
instead 1
is 5
isla 1
island 6
jungle 1
just 1
keep 1
kill 1
kirby 1
knowing 1
lands 1
large 1
later 1
leader 1
led 1
let 1
little 1
means 1
meanwhile 1
member 1
movie 1
nick 1
no 1
now 1
obsessed 1
of 13
old 1
on 1
one 1
operations 1
other 2
others 1
pack 1
part 1
parts 1
peers 1
personal 1
praises 1
predators 2
prey 1
prison 1
project 1
protect 1
provoke 1
realizes 1
realizing 1
recorded 1
refuses 1
relocating 1
return 1
reveals 1
rich 1
runs 1
sacrifices 1
save 1
saves 2
scientists 1
seemingly 1
simon 6
so 2
some 1
somewhat 1
sorna 1
stay 1
story 1
survivor 1
taken 1
taking 1
team 3
teams 1
teenagers 3
temporal 1
territory 1
that 7
the 21
them 6
then 1
there 1
they 3
this 2
three 1
time 2
to 16
trapped 1
triceratops 1
tricks 1
tries 1
trip 1
try 2
tunney 1
un 1
unwillingly 1
upon 1
valuable 1
velociraptor 1
vendetta 1
video 1
where 1
while 2
who 1
will 3
with 2
writing 1
year 1
