133874
/m/0_d5g
/m/0_d5g
Fyodor Dostoyevsky
1866
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 29
about 2
accept 1
accepted 1
acknowledges 1
acquaintance 1
actions 1
admits 1
after 3
again 3
against 1
alexandrovna 1
all 1
almost 1
also 3
alyona 2
an 2
and 47
another 1
any 1
apartment 1
appears 1
approval 1
are 2
arkady 1
arrest 1
arrival 1
arrived 1
as 7
assures 1
at 3
attain 1
attempts 1
attention 1
attracted 1
avdotya 10
away 1
axe 1
back 1
base 1
be 2
beauty 1
become 2
becomes 1
been 3
before 1
begin 1
begins 2
behaves 1
betray 1
between 1
blood 1
both 1
briefly 1
bungled 1
but 4
by 10
calling 1
calls 1
can 1
carriage 1
certain 1
character 1
chaste 1
christian 1
city 3
clean 1
clear 1
clothing 1
coincidence 1
coincidences 1
come 2
comes 2
coming 1
committed 1
committing 1
completely 1
concrete 1
confess 3
confesses 1
confessing 1
confession 2
conflicted 1
confronts 1
confusion 1
conniving 1
conscience 1
considering 1
constantly 1
continue 2
continuing 1
conversation 1
convict 1
convicted 1
cope 1
could 1
crime 6
daughter 1
day 1
days 1
dead 1
death 1
deliberation 1
delirious 1
delirium 1
denies 1
desperately 1
detective 1
develops 1
devises 1
dies 1
discussing 1
dismisses 1
dounia 2
drawing 1
driven 1
drunkard 1
due 1
elderly 1
elopement 1
end 1
entire 1
epilogue 1
even 1
evidence 2
exchange 1
exposed 2
face 2
fact 1
falls 3
family 8
feminine 1
fever 2
feverish 1
financial 1
flat 1
fled 1
flees 1
following 1
follows 1
foolish 1
for 7
forced 2
former 1
friend 2
from 5
full 1
furthermore 2
get 1
gives 1
go 1
goes 2
governess 1
grounds 1
grows 1
guilt 1
had 2
halfsister 1
hand 1
handful 1
happens 1
happy 1
has 4
have 1
having 3
he 28
head 1
hearing 1
help 3
her 14
hesitates 1
hides 1
him 12
himself 6
his 25
how 1
however 2
husband 1
idea 1
ill 1
immediately 1
in 20
includes 1
income 2
increasingly 1
influence 1
into 4
introduced 1
is 17
it 3
items 2
ivanovich 1
ivanovna 2
keep 1
kill 1
kills 1
known 1
knows 1
later 2
leave 1
leaving 1
left 1
lets 1
letter 1
lighten 1
little 1
lives 1
lizaveta 1
lost 1
love 1
loving 1
luzhin 5
makes 2
man 6
manage 1
manages 2
marmeladov 2
marriage 1
married 1
marry 2
may 1
meantime 2
meanwhile 1
meet 4
men 1
mentions 1
met 1
might 1
modest 1
moment 1
money 2
moneylender 1
moral 1
more 2
morning 2
mortally 1
mother 4
motivation 1
motives 1
much 2
murder 5
murders 2
need 1
nerves 1
never 2
news 2
next 1
night 1
no 1
none 1
not 1
nothing 1
novel 2
now 1
obsessively 1
of 28
offered 1
old 2
on 5
one 1
only 5
or 3
out 3
outside 1
over 1
overhears 1
overwhelming 1
own 1
past 1
pawnbroker 3
pay 1
penal 1
perfect 1
persuaded 1
petersburg 5
petrovich 1
physical 1
plan 3
plans 1
point 3
police 1
porfiry 4
position 2
potential 1
potentially 1
poverty 1
power 1
predetermined 1
presents 1
presuming 1
prison 1
profession 1
progresses 1
proposes 1
prostitute 2
provided 1
province 1
psychological 1
pulkheria 2
purely 1
purse 2
pyotr 1
qualities 1
question 1
questioning 1
quickly 1
rank 1
raskolnikov 26
razumikhin 4
reactions 1
realizes 2
reasons 1
receives 1
recently 1
redemption 1
refuses 2
regeneration 1
relation 1
relationship 2
remainder 1
rented 1
residence 1
reveals 1
riches 1
rob 1
rock 1
romanovna 1
room 2
rumors 1
rushing 1
safety 1
saint 4
same 2
scene 2
securing 1
seduce 1
seek 1
sees 1
selfrighteous 1
semyon 1
sense 1
sentence 1
sentenced 1
series 1
servitude 1
several 1
shaken 1
she 4
shoots 1
should 1
shows 1
siberia 2
sister 4
situation 1
small 1
sneaks 1
solely 1
some 2
son 1
sonya 10
source 1
speaking 1
speaks 1
spends 1
squandered 1
state 2
station 1
steal 1
still 1
stolen 1
strange 1
streets 1
struck 1
struggles 1
struggling 1
student 1
stumble 1
substantially 1
sudden 1
suggests 1
suicide 1
sum 1
support 2
suspect 2
suspecting 1
suspicion 1
suspicions 1
svidrigalov 11
taken 1
talked 1
teenage 1
tells 1
testimony 1
that 13
the 50
their 2
them 1
then 2
there 1
thereby 1
these 1
they 1
thin 1
thinking 1
this 7
though 4
through 1
time 2
tiny 1
to 51
torn 1
treachery 1
tries 1
true 2
truly 1
turns 1
two 2
unable 1
under 3
undetected 1
unpleasant 1
unseen 1
until 1
untouched 1
up 2
upon 3
urged 1
urges 1
use 1
vast 1
very 1
virtue 1
visit 1
walks 1
wanders 1
was 2
way 1
wealth 2
wear 1
when 2
where 3
which 4
while 3
who 6
whoever 1
whose 1
wife 2
will 1
willing 1
wishes 1
with 8
without 1
witnesses 1
woman 1
working 1
worry 1
would 1
zakharovich 1
