17602477
/m/0462zr2
/m/0462zr2
Jean D'Costa

{"/m/06m9m8": "Social science fiction", "/m/08sdrw": "Adventure novel"}
a 28
abandoned 1
about 2
acts 1
advise 1
afraid 1
after 3
albino 1
all 1
along 2
alsatian 1
also 1
although 1
an 2
and 35
animals 1
ann 1
approached 1
approximately 1
are 6
as 9
assailants 1
at 10
atkins 1
attack 1
attacking 1
attacks 1
attends 1
avoid 1
away 2
baby 2
barking 1
be 4
beating 1
been 1
before 1
began 1
beginning 1
begins 2
being 1
believes 2
believing 1
bess 7
better 1
bottom 1
boy 2
brown 1
by 4
called 1
calves 1
camp 1
can 1
caught 1
cautions 1
chases 1
children 21
christmas 2
claims 1
clothing 1
collar 1
come 1
commands 1
community 1
confrontation 1
contemplate 1
continue 1
country 1
crying 1
cult 1
dance 1
danger 1
dangerous 2
dark 1
dawn 1
day 6
deduces 1
deflected 1
departure 1
deserted 1
desolate 1
destination 1
determined 1
died 2
discover 2
discovered 1
dog 1
donkey 1
dressed 1
drowning 1
drumming 1
during 1
eerie 1
elevenyearold 2
ensure 1
entire 1
entrusts 1
epidemic 1
escape 1
eve 1
even 1
eventually 1
explains 1
face 1
far 1
feast 1
feel 1
few 1
fields 1
first 2
flee 1
follow 1
followed 1
following 3
food 2
footsteps 1
for 4
force 1
forest 1
forge 1
formulates 1
frankie 1
friend 1
friendly 1
from 5
front 1
future 1
gang 3
gathering 1
gerald 2
ghosts 1
gift 1
give 1
gives 1
glowing 1
go 1
goodbye 1
goodhope 3
group 7
guard 1
hail 1
half 1
has 5
have 1
he 7
hear 2
hears 1
help 1
henry 1
her 2
hilly 1
his 4
hold 1
home 3
hospital 1
hotel 2
house 1
how 1
however 3
human 1
hut 1
impact 1
in 9
increasing 1
injured 1
into 1
investigate 1
is 10
isaiah 2
island 1
it 2
jarrett 1
jarretts 1
jimmy 4
journey 3
knife 1
labor 1
land 1
lands 1
large 2
last 4
later 2
lawn 1
learn 2
leave 1
left 1
lived 1
lives 1
living 1
located 1
looting 1
mack 3
made 1
man 4
masquerade 1
matron 1
may 1
meet 1
mile 1
miles 1
missing 1
more 2
mr 2
mrs 1
myrna 1
mysterious 1
named 1
narrator 1
near 1
neck 1
neighbor 1
neighbors 1
nellie 3
never 1
next 3
night 2
nightfall 1
nine 1
notices 1
novel 1
of 19
off 1
offer 1
old 4
older 1
on 6
once 2
onward 1
orphanage 3
other 4
others 1
outfits 1
outside 1
owner 1
partially 1
passage 1
past 1
path 2
pauline 2
peak 4
people 2
perform 1
pet 1
pitch 1
plan 1
plot 1
pneumonia 1
pool 1
precious 1
prepares 1
preventcure 1
raging 1
rastafarian 1
raucous 1
ravine 3
reach 1
realize 1
really 1
referred 1
refuge 1
remaining 1
remains 1
repeatedly 1
resources 1
resting 1
reunited 1
rifle 1
road 1
robes 1
route 1
sacrificing 1
safe 3
saint 1
saves 1
scary 1
secret 1
seen 2
set 1
seven 1
shallow 1
shocked 1
shoot 1
shrubbery 1
shy 1
sickness 2
side 2
sign 1
since 1
singing 1
skulk 1
sleep 2
small 1
someone 2
song 1
soon 1
sounds 1
stabbed 1
stage 1
steal 1
strident 1
submerged 1
sunrise 2
surprised 1
sylvia 1
take 1
teacher 3
tearful 1
terrain 1
terror 1
that 13
the 73
their 8
them 3
themselves 1
then 1
there 1
they 11
things 1
threats 1
through 2
to 22
town 2
travel 1
trudge 1
two 3
uncle 1
useful 1
very 1
virus 1
visit 1
water 1
weeks 1
well 1
when 1
where 1
whether 1
which 3
while 3
white 1
who 1
wife 1
will 2
with 7
woman 1
work 2
would 2
wound 1
wus 8
wuss 2
years 1
