3251094
/m/09191h
/m/09191h
Shane Johnson
2002-07
1 2
14 1
175 1
1b 1
20 3
a 22
abandon 1
abandoned 1
able 1
accepts 1
according 1
activate 2
activates 2
activation 1
acts 1
actually 2
admit 1
adventures 1
after 3
again 2
agree 1
air 1
aitken 1
alarm 1
all 2
also 1
an 7
ancient 1
and 27
angered 1
another 1
antediluvian 1
anyone 1
apollo 8
apparent 2
apparently 1
applying 1
are 4
argue 1
argument 1
arms 1
around 1
arrive 1
artifact 1
artworks 1
as 7
ascent 1
ask 1
assaulted 1
astronauts 1
astronautsbecause 1
at 3
ate 1
attack 2
attacked 1
attackthough 1
attempts 1
authorizes 1
awakes 1
back 2
backupall 1
base 13
based 1
basewide 1
basin 2
be 4
because 2
been 4
before 2
begin 1
being 1
bent 1
best 1
beyond 1
bible 1
bibleand 1
blame 1
both 2
broadcasting 1
brotherinlaw 1
builders 4
building 1
built 1
but 3
butat 1
by 7
called 2
can 2
cancelling 1
cannot 2
capsule 1
capture 1
case 1
causing 1
charlie 1
chosen 1
christian 1
clearly 1
clementine 1
climate 1
cm 1
coincidental 1
colleague 1
coming 1
commander 5
communicator 1
community 1
completely 1
completes 1
computer 1
concerning 1
confirmed 1
congress 1
conquer 1
construction 1
contains 3
continue 1
control 1
convey 1
course 1
crew 4
crewdead 1
crewmate 1
csm 1
cut 1
damaging 1
data 1
death 1
deaths 1
delivered 1
depicting 1
descent 1
desperate 1
destroy 1
destroys 1
detonation 1
did 1
died 1
direct 1
discovery 1
dispensarybegin 1
distress 1
down 1
driving 2
during 1
earlier 1
earth 7
easily 1
ejects 1
empty 2
end 1
engine 1
engineering 1
enginethe 1
entered 1
entirely 2
entrusted 1
entry 1
eva 2
even 1
events 1
eventual 1
evil 1
except 1
exemplified 1
existence 1
experiences 1
experimental 1
exposed 1
extrasolar 1
fact 2
fails 1
failure 1
far 1
february 1
find 6
finding 1
finds 3
finishing 1
fire 1
flood 1
following 2
food 1
for 5
foundations 1
friend 3
from 4
fully 1
functioning 1
fundamentalist 1
further 1
gary 2
given 1
god 1
goes 1
goodbye 1
granary 1
gratitude 1
had 2
hangarwhich 1
has 7
have 4
he 9
hear 1
heavy 1
help 1
him 5
himself 3
his 9
historical 1
home 3
hosts 1
house 1
householders 1
however 1
human 4
husband 1
ice 3
immediately 2
in 22
incomprehensible 1
incredible 1
incredibly 1
indicated 1
indicating 1
injection 1
injured 1
input 1
into 3
is 8
it 5
its 7
itself 2
johnson 1
join 1
journey 1
just 2
kill 1
lands 1
last 4
late 1
launched 1
leads 1
least 2
left 1
lift 1
lifts 1
limit 1
listen 1
lives 1
living 1
lm 8
location 2
lucas 7
lunar 5
machine 2
mania 1
many 2
marlow 2
mayhem 1
means 1
meanwhile 1
members 1
memory 1
men 5
message 2
might 2
mission 3
missions 1
mixed 1
moon 4
multiple 1
murder 1
must 2
mutiny 1
mystery 1
near 2
never 2
no 1
noachic 1
noah 1
nonhuman 1
not 4
novel 1
now 1
observation 1
of 23
off 2
offering 1
offers 1
on 9
one 5
onethird 1
only 1
onrushing 1
or 2
orbit 1
orbiting 1
orders 1
originallyfrom 1
out 5
outofplace 1
outside 1
own 1
oxygen 1
part 1
pastspecifically 1
people 1
peremptorily 1
perilous 1
piercing 1
pilot 4
planetwide 1
point 1
pole 1
possibility 1
process 1
program 1
project 3
prospector 1
quantity 1
quarters 1
range 1
reach 1
read 1
ready 1
real 1
realize 2
realizes 2
realizing 1
recognized 1
refuses 2
regards 1
remaining 1
remains 1
repeated 1
rescue 4
response 1
restart 1
return 2
returning 1
reverses 1
roar 1
room 2
rover 2
run 2
runs 2
sacrifice 2
salvation 1
saturn 1
save 1
say 1
scenes 1
science 1
scientific 1
searches 1
seconds 1
sedative 1
see 2
selfdestruct 2
sequence 2
shepherd 6
short 1
shortly 1
shut 1
signal 3
simulate 1
simulation 1
simulator 1
soil 1
soon 1
sounds 1
south 1
spacecraft 1
stage 1
standalone 1
started 1
starts 1
steps 1
stocking 1
stored 1
storehouse 2
stranded 1
strike 1
studies 1
subconsciouslythey 1
subsequent 1
subsequently 1
subsurface 1
suffering 1
suicide 3
suits 2
supposed 1
surface 1
surveillance 1
survivor 1
sustenance 1
sweep 1
system 4
systemand 1
systems 1
systemsgravity 1
table 1
tall 1
technology 1
tests 1
that 19
the 69
their 12
them 2
themselves 1
then 3
there 1
thereafter 1
thermonuclear 1
these 1
they 10
this 2
thoroughly 1
threatens 1
three 1
time 2
timebecause 1
to 36
tones 1
too 1
torture 1
touches 1
transearth 1
tries 1
truck 1
turn 1
turns 1
two 3
ultimately 1
understand 1
unfortunately 1
unmanned 1
until 1
upon 1
used 1
using 1
vain 1
vanishes 1
various 3
vast 3
vehicles 1
vertigo 1
violence 1
visitors 1
waiting 1
wall 1
war 2
warning 1
warrant 1
warroom 1
watch 1
water 4
we 1
well 1
were 4
what 1
whether 1
which 6
who 2
whoever 1
whose 1
why 1
will 2
with 4
without 2
witnessed 1
wives 1
woman 2
workforce 1
world 2
would 1
