25107948
/m/04q0yll
/m/04q0yll
Gary Paulsen
1995
14 1
1768 1
40caliber 1
42inch 1
a 8
accuracy 1
accurate 1
against 1
an 1
and 4
another 1
antique 1
as 2
astoundingly 1
at 3
attempts 1
balls 1
barrel 1
battle 1
be 3
beautiful 1
being 1
books 1
boy 1
bullet 1
butt 1
by 3
byam 1
carries 1
causing 1
christmas 2
comes 1
completing 1
cornish 1
crafts 1
customary 1
deliver 1
discovers 1
down 1
drooped 1
ends 1
engaged 1
enough 1
eve 1
exactly 1
fact 1
fireplace 1
fix 1
forced 1
forged 1
generations 1
go 1
goes 1
gun 2
gunsmith 1
harv 3
he 2
him 1
his 2
hits 1
hole 1
however 1
ignites 1
improve 1
in 5
inches 1
inspired 1
into 1
is 6
it 3
its 4
john 1
lacking 1
less 1
light 1
lost 1
man 2
mantle 1
maple 1
married 1
mcmanus 3
mechanic 1
money 1
more 1
most 1
named 1
narrower 1
neighbor 1
of 3
off 1
on 3
one 1
only 1
passed 1
piece 1
poking 1
recovered 1
redcoats 1
rediscovered 1
rest 1
richard 1
rifle 4
rifles 1
rifling 1
river 1
row 1
same 1
sell 1
severe 1
sold 1
spark 1
stock 1
than 2
the 16
thirty 1
thirtyfive 1
three 1
through 2
throwing 1
time 1
to 11
tree 1
turn 1
ultimately 1
unique 1
upon 1
weapon 2
when 1
who 2
window 1
with 2
yards 1
