6833891
/m/0grnww
/m/0grnww
Terry Brooks
1986-03-12
a 24
abaddon 2
abbadon 1
abernathy 1
able 2
about 1
accident 1
advertisement 1
against 1
agree 1
all 1
allegiance 1
allowing 1
also 4
although 1
an 3
and 17
as 7
ask 1
attempts 1
attended 1
awry 1
banish 1
barely 2
be 3
been 3
begins 1
ben 22
bunion 1
but 4
by 8
called 2
car 1
caretakers 1
castle 1
catalog 1
challenge 2
challenged 1
chicago 1
child 1
christmas 1
city 1
claiming 1
claims 1
clan 1
companions 1
complete 1
condition 1
conditions 1
confront 1
connects 1
coronation 1
country 1
countryside 1
court 3
created 1
creature 1
creatures 4
death 1
decades 1
decide 1
decides 1
deep 1
demon 1
described 1
desperate 1
did 1
do 1
does 1
dog 1
dollars 1
dozens 1
dragon 3
duel 1
during 1
earth 2
elderew 2
emerging 1
endures 1
enter 1
entreated 1
escape 1
escaped 1
evenings 1
exactly 1
extracts 1
face 1
fairies 1
fairy 8
falling 1
fate 1
fell 1
few 1
fight 1
fillip 1
finally 3
find 1
finds 5
fire 1
first 1
fold 1
for 3
foretold 1
former 1
four 1
friends 1
frightening 1
from 7
further 2
gain 1
ghome 1
glory 1
gnomes 1
gone 1
greensward 4
guard 1
hack 1
had 1
halfbrother 1
has 5
have 2
he 13
help 1
her 5
him 2
himself 1
his 5
holiday 2
home 1
if 1
in 9
initially 1
into 3
io 3
is 12
it 2
its 1
king 5
kingdom 4
kings 1
knight 1
known 1
kobolds 1
lamenting 1
land 1
landover 8
landowners 1
large 1
last 2
lawyer 1
leaders 1
learns 1
life 1
lives 1
local 1
lord 1
lords 2
loss 1
love 1
loyal 1
magic 1
magical 3
man 1
manage 1
many 1
mark 1
marry 1
marshes 1
master 2
may 1
medallion 2
meeks 3
meet 1
million 1
mindcontrolling 1
mist 2
mists 4
months 1
most 1
mr 1
much 1
named 3
need 1
new 1
next 1
nightshade 3
no 1
not 4
novel 1
obtain 2
of 28
offer 2
on 5
one 3
only 2
other 1
out 3
outcasts 1
over 1
paladin 2
parsnip 1
passages 1
past 1
people 2
places 1
pledge 1
pledges 1
polluting 1
powder 4
prominent 1
promise 1
protected 1
protection 1
pursues 1
questor 2
race 1
rather 1
ravages 1
rebuffs 1
receives 1
requiring 1
rescue 2
reside 1
responds 1
restore 1
rid 1
rides 1
river 3
rivers 1
rulers 1
scribe 1
seen 1
selling 1
sends 1
sentient 1
series 1
serve 2
sets 1
she 4
since 1
skeptical 1
so 4
some 3
son 1
soon 1
sot 1
spells 1
springs 1
start 1
stay 1
still 1
stop 1
strabo 4
stumbles 1
subdue 1
subjects 1
substance 1
successfully 1
such 1
surprised 1
surrounded 1
swear 1
swirling 1
sylph 1
take 1
tells 1
that 9
the 61
their 5
them 1
then 2
these 1
thews 1
they 4
thievish 1
though 1
throne 3
through 1
time 1
to 37
transformed 1
transforms 1
transported 1
travel 2
travels 2
tree 1
trial 1
trials 1
tribes 1
trick 1
troll 1
trolls 1
true 1
turns 1
twenty 1
two 3
unborn 1
uncertain 1
underworld 1
unfortunately 2
up 1
upon 1
upscale 1
use 1
used 2
uses 2
vicious 1
visits 1
was 1
wellspoken 1
where 1
wherein 1
who 4
wife 1
wild 1
will 1
willow 1
wish 1
witch 2
with 5
witnessed 1
wizard 2
world 1
worlds 2
years 1
