24661219
/m/080g91f
/m/080g91f
Jon Cleary
1952
120 1
a 5
abandon 1
along 1
also 1
an 1
and 7
as 2
at 1
australian 1
australianborn 1
boy 1
but 1
can 1
carmody 2
carmodys 1
cattledroving 1
characters 1
colourful 1
continue 1
continues 1
cook 1
country 1
deals 1
develops 1
doesnt 1
drunks 1
during 1
englishman 1
exile 1
family 1
from 2
graziers 1
he 4
his 2
horsedrawn 1
ida 3
in 6
including 1
into 1
irish 1
is 3
itinerant 1
jobs 1
joins 1
life 2
like 1
longs 1
man 1
marries 1
meet 1
migrants 1
of 4
on 1
one 2
outback 2
own 1
paddy 2
pays 1
pick 1
place 1
point 1
prosperous 1
ranging 1
rupert 1
sean 3
selfimposed 1
set 1
settle 1
settles 1
shearers 1
shearing 1
sheepshearing 1
small 1
son 2
story 1
takes 1
tarboy 1
team 1
the 9
their 2
they 1
to 4
town 1
travelling 1
unwilling 1
up 1
various 1
venneker 2
wagon 1
way 3
well 1
welleducated 1
where 1
which 1
whilst 1
wife 1
with 3
work 1
worker 1
year 1
young 1
